Frame,Division frame,Daughter ID,Mother ID,Generation,Origin ID,Sister IDs
0,1,1,-1,-2,1,
0,1,2,-1,-2,2,
1,1,1,-1,-2,1,
1,1,2,-1,-2,2,
2,1,1,-1,-2,1,
2,1,2,-1,-2,2,
3,1,1,-1,-2,1,
3,1,2,-1,-2,2,
4,1,1,-1,-2,1,
4,1,2,-1,-2,2,
5,1,1,-1,-2,1,
5,1,2,-1,-2,2,
6,1,1,-1,-2,1,
6,1,2,-1,-2,2,
7,1,1,-1,-2,1,
7,1,2,-1,-2,2,
8,1,1,-1,-2,1,
8,1,2,-1,-2,2,
9,1,1,-1,-2,1,
9,1,2,-1,-2,2,
10,1,1,-1,-2,1,
10,1,2,-1,-2,2,
11,1,1,-1,-2,1,
11,1,2,-1,-2,2,
12,1,1,-1,-2,1,
12,1,2,-1,-2,2,
13,1,1,-1,-2,1,
13,1,2,-1,-2,2,
14,1,1,-1,-2,1,
14,1,2,-1,-2,2,
15,1,1,-1,-2,1,
15,1,2,-1,-2,2,
16,1,1,-1,-2,1,
16,1,2,-1,-2,2,
17,1,1,-1,-2,1,
17,1,2,-1,-2,2,
18,1,1,-1,-2,1,
18,1,2,-1,-2,2,
19,1,1,-1,-2,1,
19,1,2,-1,-2,2,
20,1,1,-1,-2,1,
20,1,2,-1,-2,2,
21,1,1,-1,-2,1,
21,1,2,-1,-2,2,
22,1,1,-1,-2,1,
22,1,2,-1,-2,2,
23,1,1,-1,-2,1,
23,1,2,-1,-2,2,
24,1,1,-1,-2,1,
24,1,2,-1,-2,2,
25,1,1,-1,-2,1,
25,1,2,-1,-2,2,
26,1,1,-1,-2,1,
26,1,2,-1,-2,2,
27,1,1,-1,-2,1,
27,1,2,-1,-2,2,
28,1,1,-1,-2,1,
28,1,2,-1,-2,2,
29,1,1,-1,-2,1,
29,1,2,-1,-2,2,
30,1,1,-1,-2,1,
30,1,2,-1,-2,2,
31,1,1,-1,-2,1,
31,1,2,-1,-2,2,
32,1,1,-1,-2,1,
32,1,2,-1,-2,2,
33,1,1,-1,-2,1,
33,1,2,-1,-2,2,
34,1,1,-1,-2,1,
34,1,2,-1,-2,2,
35,1,1,-1,-2,1,
35,1,2,-1,-2,2,
36,1,1,-1,-2,1,
36,1,2,-1,-2,2,
37,1,1,-1,-2,1,
37,1,2,-1,-2,2,
38,1,1,-1,-2,1,
38,1,2,-1,-2,2,
39,1,1,-1,-2,1,
39,1,2,-1,-2,2,
40,1,1,-1,-2,1,
40,1,2,-1,-2,2,
41,1,1,-1,-2,1,
41,1,2,-1,-2,2,
42,1,1,-1,-2,1,
42,1,2,-1,-2,2,
43,1,1,-1,-2,1,
43,1,2,-1,-2,2,
44,1,1,-1,-2,1,
44,1,2,-1,-2,2,
45,1,1,-1,-2,1,
45,1,2,-1,-2,2,
46,1,1,-1,-2,1,
46,1,2,-1,-2,2,
47,1,1,-1,-2,1,
47,1,2,-1,-2,2,
48,1,1,-1,-2,1,
48,1,2,-1,-2,2,
49,1,1,-1,-2,1,
49,1,2,-1,-2,2,
50,1,1,-1,-2,1,
50,1,2,-1,-2,2,
51,1,1,-1,-2,1,
51,1,2,-1,-2,2,
52,1,1,-1,-2,1,
52,1,2,-1,-2,2,
53,1,1,-1,-2,1,
53,1,2,-1,-2,2,
54,1,1,-1,-2,1,
54,1,2,-1,-2,2,
55,1,1,-1,-2,1,
55,1,2,-1,-2,2,
56,1,1,-1,-2,1,
56,1,2,-1,-2,2,
57,1,1,-1,-2,1,
57,1,2,-1,-2,2,
58,1,1,-1,-2,1,
58,1,2,-1,-2,2,
59,1,1,-1,-2,1,
59,1,2,-1,-2,2,
60,1,1,-1,-2,1,
60,1,2,-1,-2,2,
61,1,1,-1,-2,1,
61,1,2,-1,-2,2,
62,1,1,-1,-2,1,
62,1,2,-1,-2,2,
63,1,1,-1,-2,1,
63,1,2,-1,-2,2,
64,1,1,-1,-2,1,
64,1,2,-1,-2,2,
65,1,1,-1,-2,1,
65,1,2,-1,-2,2,
66,1,1,-1,-2,1,
66,1,2,-1,-2,2,
67,1,1,-1,-2,1,
67,1,2,-1,-2,2,
68,1,1,-1,-2,1,
68,1,2,-1,-2,2,
69,1,1,-1,-2,1,
69,1,2,-1,-2,2,
70,1,1,-1,-2,1,
70,1,2,-1,-2,2,
71,1,1,-1,-2,1,
71,1,2,-1,-2,2,
72,1,1,-1,-2,1,
72,1,2,-1,-2,2,
73,1,1,-1,-2,1,
73,1,2,-1,-2,2,
74,1,1,-1,-2,1,
74,1,2,-1,-2,2,
75,1,1,-1,-2,1,
75,1,2,-1,-2,2,
76,1,1,-1,-2,1,
76,1,2,-1,-2,2,
77,1,1,-1,-2,1,
77,1,2,-1,-2,2,
78,1,1,-1,-2,1,
78,1,2,-1,-2,2,
79,1,1,-1,-2,1,
79,1,2,-1,-2,2,
80,1,1,-1,-2,1,
80,1,2,-1,-2,2,
81,1,1,-1,-2,1,
81,1,2,-1,-2,2,
82,1,1,-1,-2,1,
82,1,2,-1,-2,2,
83,1,1,-1,-2,1,
83,1,2,-1,-2,2,
84,1,1,-1,-2,1,
84,1,2,-1,-2,2,
85,1,1,-1,-2,1,
85,1,2,-1,-2,2,
86,1,1,-1,-2,1,
86,1,2,-1,-2,2,
87,1,1,-1,-2,1,
87,1,2,-1,-2,2,
88,1,1,-1,-2,1,
88,1,2,-1,-2,2,
89,1,1,-1,-2,1,
89,1,2,-1,-2,2,
90,1,1,-1,-2,1,
90,1,2,-1,-2,2,
91,1,1,-1,-2,1,
91,1,2,-1,-2,2,
92,1,1,-1,-2,1,
92,1,2,-1,-2,2,
93,1,1,-1,-2,1,
93,1,2,-1,-2,2,
94,1,1,-1,-2,1,
94,1,2,-1,-2,2,
95,1,1,-1,-2,1,
95,1,2,-1,-2,2,
96,1,1,-1,-2,1,
96,1,2,-1,-2,2,
97,1,1,-1,-2,1,
97,1,2,-1,-2,2,
98,1,1,-1,-2,1,
98,1,2,-1,-2,2,
99,1,1,-1,-2,1,
99,1,2,-1,-2,2,
100,1,1,-1,-2,1,
100,1,2,-1,-2,2,
101,1,1,-1,-2,1,
101,1,2,-1,-2,2,
102,1,1,-1,-2,1,
102,1,2,-1,-2,2,
103,1,1,-1,-2,1,
103,1,2,-1,-2,2,
104,1,1,-1,-2,1,
104,1,2,-1,-2,2,
105,1,1,-1,-2,1,
105,1,2,-1,-2,2,
106,1,1,-1,-2,1,
106,1,2,-1,-2,2,
107,1,1,-1,-2,1,
107,1,2,-1,-2,2,
108,1,1,-1,-2,1,
108,1,2,-1,-2,2,
109,1,1,-1,-2,1,
109,1,2,-1,-2,2,
110,1,1,-1,-2,1,
110,1,2,-1,-2,2,
111,1,1,-1,-2,1,
111,1,2,-1,-2,2,
112,1,1,-1,-2,1,
112,1,2,-1,-2,2,
113,1,1,-1,-2,1,
113,1,2,-1,-2,2,
114,1,1,-1,-2,1,
114,1,2,-1,-2,2,
115,1,1,-1,-2,1,
115,1,2,-1,-2,2,
116,1,1,-1,-2,1,
116,1,2,-1,-2,2,
117,1,1,-1,-2,1,
117,1,2,-1,-2,2,
118,1,1,-1,-2,1,
118,1,2,-1,-2,2,
119,1,1,-1,-2,1,
119,1,2,-1,-2,2,
120,1,1,-1,-2,1,
120,1,2,-1,-2,2,
121,1,1,-1,-2,1,
121,1,2,-1,-2,2,
122,1,1,-1,-2,1,
122,1,2,-1,-2,2,
123,1,1,-1,-2,1,
123,1,2,-1,-2,2,
124,1,1,-1,-2,1,
124,1,2,-1,-2,2,
125,1,1,-1,-2,1,
125,1,2,-1,-2,2,
126,1,1,-1,-2,1,
126,1,2,-1,-2,2,
127,1,1,-1,-2,1,
127,1,2,-1,-2,2,
128,1,1,-1,-2,1,
128,1,2,-1,-2,2,
129,1,1,-1,-2,1,
129,1,2,-1,-2,2,
130,1,1,-1,-2,1,
130,1,2,-1,-2,2,
131,1,1,-1,-2,1,
131,1,2,-1,-2,2,
132,1,1,-1,-2,1,
132,1,2,-1,-2,2,
133,1,1,-1,-2,1,
133,1,2,-1,-2,2,
134,1,1,-1,-2,1,
134,1,2,-1,-2,2,
135,1,1,-1,-2,1,
135,1,2,-1,-2,2,
136,1,1,-1,-2,1,
136,1,2,-1,-2,2,
137,1,1,-1,-2,1,
137,1,2,-1,-2,2,
138,1,1,-1,-2,1,
138,1,2,-1,-2,2,
139,1,1,-1,-2,1,
139,1,2,-1,-2,2,
140,1,1,-1,-2,1,
140,1,2,-1,-2,2,
141,1,1,-1,-2,1,
141,1,2,-1,-2,2,
142,1,1,-1,-2,1,
142,1,2,-1,-2,2,
143,1,1,-1,-2,1,
143,1,2,-1,-2,2,
144,1,1,-1,-2,1,
144,1,2,-1,-2,2,
145,1,1,-1,-2,1,
145,1,2,-1,-2,2,
146,1,1,-1,-2,1,
146,1,2,-1,-2,2,
147,1,1,-1,-2,1,
147,1,2,-1,-2,2,
148,1,1,-1,-2,1,
148,1,2,-1,-2,2,
149,1,1,-1,-2,1,
149,1,2,-1,-2,2,
150,1,1,-1,-2,1,
150,1,2,-1,-2,2,
151,1,1,-1,-2,1,
151,1,2,-1,-2,2,
152,1,1,-1,-2,1,
152,1,2,-1,-2,2,
153,1,1,-1,-2,1,
153,1,2,-1,-2,2,
154,1,1,-1,-2,1,
154,1,2,-1,-2,2,
155,1,1,-1,-2,1,
155,1,2,-1,-2,2,
156,1,1,-1,-2,1,
156,1,2,-1,-2,2,
157,1,1,-1,-2,1,
157,1,2,-1,-2,2,
158,1,1,-1,-2,1,
158,1,2,-1,-2,2,
159,1,1,-1,-2,1,
159,1,2,-1,-2,2,
160,1,1,-1,-2,1,
160,1,2,-1,-2,2,
161,1,1,-1,-2,1,
161,1,2,-1,-2,2,
162,1,1,-1,-2,1,
162,1,2,-1,-2,2,
163,1,1,-1,-2,1,
163,1,2,-1,-2,2,
164,1,1,-1,-2,1,
164,1,2,-1,-2,2,
165,1,1,-1,-2,1,
165,1,2,-1,-2,2,
166,1,1,-1,-2,1,
166,1,2,-1,-2,2,
167,1,1,-1,-2,1,
167,1,2,-1,-2,2,
