frame_i,Cell_ID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_on_frame_i,will_divide,daughter_disappears_before_division,disappears_before_division,time_minutes,time_hours,is_cell_dead,is_cell_excluded,was_manually_edited,x_centroid,y_centroid,disappears_before_end,end_of_cell_cycle_frame_i
0,1,S,2,2,mother,-1,-1,False,-1,1,0,0,,,,,,,,,
0,2,S,0,1,bud,-1,-1,False,-1,1,0,0,,,,,,,,,
1,1,S,2,2,mother,-1,-1,False,-1,1,0,0,,,,,,,,,
1,2,S,0,1,bud,-1,-1,False,-1,1,0,0,,,,,,,,,
2,1,S,2,2,mother,-1,-1,False,-1,1,0,0,,,,,,,,,
2,2,S,0,1,bud,-1,-1,False,-1,1,0,0,,,,,,,,,
3,1,S,2,2,mother,-1,-1,False,-1,1,0,0,,,,,,,,,
3,2,S,0,1,bud,-1,-1,False,-1,1,0,0,,,,,,,,,
4,1,S,2,2,mother,-1,-1,False,-1,1,0,0,,,,,,,,,
4,2,S,0,1,bud,-1,-1,False,-1,1,0,0,,,,,,,,,
5,1,S,2,2,mother,-1,-1,False,-1,1,0,0,,,,,,,,,
5,2,S,0,1,bud,-1,-1,False,-1,1,0,0,,,,,,,,,
6,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
6,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
7,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
7,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
8,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
8,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
9,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
9,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
10,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
10,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
11,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
11,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
12,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
12,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
13,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
13,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
14,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
14,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
15,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
15,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
16,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
16,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
17,1,G1,3,2,mother,-1,6,False,-1,1,0,0,,,,,,,,,
17,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
18,1,S,3,15,mother,-1,6,False,-1,1,0,0,,,,,,,,,
18,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
18,15,S,0,1,bud,18,-1,True,-1,1,0,0,,,,,,,,,
19,1,S,3,15,mother,-1,6,False,-1,1,0,0,,,,,,,,,
19,2,G1,1,1,mother,-1,6,False,-1,1,0,0,,,,,,,,,
19,15,S,0,1,bud,18,-1,True,-1,1,0,0,,,,,,,,,
20,1,S,3,15,mother,-1,6,False,-1,1,0,0,,,,,,,,,
20,2,S,1,13,mother,-1,6,False,-1,1,0,0,,,,,,,,,
20,13,S,0,2,bud,20,-1,True,-1,1,0,0,,,,,,,,,
20,15,S,0,1,bud,18,-1,True,-1,1,0,0,,,,,,,,,
21,1,S,3,15,mother,-1,6,False,-1,1,0,0,,,,,,,,,
21,2,S,1,13,mother,-1,6,False,-1,1,0,0,,,,,,,,,
