,cell_cycle_num,Position_n,Cell_ID,len_G1,Strain,Birth frame,Birth vol fl,Div frame,Div vol fl
0,1,Position_1,1,8.0,MMY,20.0,59.20890874548513,,
1,1,Position_1,2,,MMY,,,,
2,1,Position_1,3,,MMY,,,,
3,1,Position_1,4,,MMY,,,,
4,1,Position_1,5,11.0,MMY,8.0,62.510934807807125,,
5,1,Position_1,6,,MMY,,,,
6,1,Position_1,7,22.0,MMY,33.0,54.256382353088895,,
7,1,Position_1,8,11.0,MMY,35.0,43.78483442768295,,
8,1,Position_1,9,22.0,MMY,45.0,50.33208132648643,,
9,1,Position_1,10,10.0,MMY,48.0,55.70370178223891,,
10,1,Position_1,11,19.0,MMY,55.0,52.01880758129898,,
11,1,Position_1,12,17.0,MMY,54.0,56.03918587652237,,
12,1,Position_1,13,9.0,MMY,62.0,49.407698328024594,,
13,1,Position_1,14,9.0,MMY,64.0,42.54723345769924,,
14,1,Position_1,15,21.0,MMY,72.0,40.04169083276843,,
15,1,Position_1,16,10.0,MMY,72.0,51.82924221152551,,
16,1,Position_1,17,12.0,MMY,79.0,49.36568946913324,,
17,1,Position_1,18,19.0,MMY,77.0,50.01655943526698,,
18,1,Position_1,19,,MMY,84.0,49.908009268718125,,
19,1,Position_1,20,11.0,MMY,81.0,36.64772547854786,,
20,1,Position_1,21,,MMY,83.0,38.20892157573831,,
21,1,Position_1,22,14.0,MMY,84.0,41.77613628659734,,
22,1,Position_1,23,,MMY,104.0,81.9434094400999,,
23,1,Position_1,24,14.0,MMY,89.0,44.40314380992687,,
24,1,Position_1,25,,MMY,91.0,38.76689203751734,,
25,1,Position_1,26,,MMY,91.0,46.36705064470404,,
26,1,Position_1,27,,MMY,101.0,51.303423939128685,,
27,1,Position_1,29,,MMY,101.0,55.24127681128272,,
28,1,Position_1,30,,MMY,100.0,47.549299836476486,,
29,1,Position_1,31,,MMY,101.0,64.8045960148566,,
30,1,Position_1,32,,MMY,103.0,48.35065952569502,,
31,1,Position_1,34,,MMY,104.0,43.10455317614596,,
32,1,Position_1,36,,MMY,104.0,36.1938624946151,,
33,1,Position_12,1,,CCR4DEL,8.0,124.49849459171747,,
34,1,Position_12,2,,CCR4DEL,,,,
35,1,Position_12,3,,CCR4DEL,,,,
36,1,Position_12,4,,CCR4DEL,12.0,97.73136485837578,,
37,1,Position_12,5,,CCR4DEL,53.0,183.76338433527485,,
38,1,Position_12,6,51.0,CCR4DEL,40.0,89.32844898769149,,
39,1,Position_12,7,57.0,CCR4DEL,71.0,126.722853021998,,
40,1,Position_12,8,35.0,CCR4DEL,93.0,91.76798673966832,,
41,1,Position_12,10,12.0,CCR4DEL,116.0,95.7314939418163,,
42,1,Position_13,1,,CCR4DEL,21.0,121.47432693724863,,
43,1,Position_13,2,,CCR4DEL,,,,
44,1,Position_13,6,,CCR4DEL,,,,
45,1,Position_13,7,37.0,CCR4DEL,2.0,45.79512699875961,,
46,1,Position_13,8,,CCR4DEL,,,,
47,1,Position_13,9,,CCR4DEL,5.0,90.81522872564388,,
48,1,Position_13,10,,CCR4DEL,,,,
49,1,Position_13,11,,CCR4DEL,17.0,94.2933722265724,,
50,1,Position_13,12,,CCR4DEL,,,,
51,1,Position_13,13,,CCR4DEL,,,,
52,1,Position_13,14,9.0,CCR4DEL,19.0,62.6153322448673,,
53,1,Position_13,15,18.0,CCR4DEL,35.0,82.77894350548442,,
54,1,Position_13,16,43.0,CCR4DEL,41.0,120.61936265850731,,
55,1,Position_13,18,16.0,CCR4DEL,41.0,78.43961542135062,,
56,1,Position_13,19,25.0,CCR4DEL,47.0,76.04664215007023,,
57,1,Position_13,21,25.0,CCR4DEL,39.0,44.13212575457597,,
58,1,Position_13,22,41.0,CCR4DEL,43.0,61.00609782053235,,
59,1,Position_13,23,,CCR4DEL,60.0,92.68207759020014,,
60,1,Position_13,24,,CCR4DEL,67.0,57.20397553404828,,
61,1,Position_13,25,,CCR4DEL,55.0,47.30232105301073,,
