Position_n,frame_i,Cell_ID,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl
Position_1,0,1,FALSE,FALSE,550,62,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2961,115933.2837,15.56203892,44.17232629
Position_1,0,2,FALSE,FALSE,592,63,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,523,8394.90399,2.748715418,3.198584793
Position_1,0,3,FALSE,FALSE,486,82,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2829,104418.3995,14.86829048,39.78498206
Position_1,0,4,FALSE,FALSE,584,103,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1733,48881.30256,9.108076138,18.62451211
Position_1,0,5,FALSE,FALSE,533,134,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3726,151505.9063,19.58262648,57.72603097
Position_1,0,6,FALSE,FALSE,460,147,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4898,240971.3766,25.74227174,91.81372194
Position_1,0,7,FALSE,FALSE,435,202,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2019,65678.99195,10.61119776,25.02468463
Position_1,0,8,FALSE,FALSE,305,311,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3219,133938.3159,16.91800178,51.03251461
Position_1,0,9,FALSE,FALSE,327,367,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2447,86886.31145,12.86062453,33.10499261
Position_1,0,10,FALSE,FALSE,223,449,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,875,17717.96419,4.598711264,6.750811074
Position_1,0,11,FALSE,FALSE,268,466,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3770,164866.6485,19.81387596,62.81667489
Position_1,0,12,FALSE,FALSE,308,520,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2768,107750.5742,14.5476946,41.0545908
Position_1,0,13,FALSE,FALSE,246,532,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3630,150086.9064,19.07808216,57.18537067
Position_1,0,14,FALSE,FALSE,251,585,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1648,47443.08092,8.661344186,18.07652802
Position_1,0,15,FALSE,FALSE,403,752,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4309,201339.1765,22.6466821,76.71325711
Position_1,0,16,FALSE,FALSE,380,795,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,790,16124.366,4.151979313,6.143626174
Position_1,0,17,FALSE,FALSE,305,555,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,206,1864.962051,1.082668023,0.710578616
Position_2,0,1,FALSE,FALSE,239,249,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4217,189662.3599,22.16316046,72.26421421
Position_2,0,2,FALSE,FALSE,236,309,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2520,92381.34895,13.24428844,35.19868461
Position_2,0,3,FALSE,FALSE,733,328,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4840,243741.086,25.43744288,92.8690229
Position_2,0,4,FALSE,FALSE,366,377,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3425,138223.2614,18.0006698,52.66514334
Position_2,0,5,FALSE,FALSE,319,403,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1403,38105.15127,7.373705032,14.51863625
Position_2,0,6,FALSE,FALSE,421,414,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2425,86386.9704,12.74499979,32.91473615
Position_2,0,7,FALSE,FALSE,467,441,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2081,67952.36471,10.9370493,25.89087387
Position_2,0,8,FALSE,FALSE,361,449,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5588,308036.7261,29.36868405,117.3666297
Position_2,0,9,FALSE,FALSE,425,483,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3418,131762.7445,17.96388011,50.20358916
Position_2,0,10,FALSE,FALSE,352,520,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3411,146185.2717,17.92709042,55.69878911
Position_2,0,11,FALSE,FALSE,63,635,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4889,252725.3713,25.69497071,96.29217088
Position_2,0,12,FALSE,FALSE,49,690,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1552,43758.15859,8.156799865,16.67251714
Position_3,0,1,FALSE,FALSE,370,58,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4162,186213.3352,21.87409861,70.95008387
Position_3,0,2,FALSE,FALSE,306,88,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4121,189651.3218,21.65861614,72.26000854
Position_3,0,3,FALSE,FALSE,369,108,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,705,12603.83037,3.705247361,4.802249104
Position_3,0,4,FALSE,FALSE,413,114,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2802,101847.8342,14.72638738,38.805558
Position_3,0,5,FALSE,FALSE,343,149,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4257,182318.5029,22.37338726,69.46609414
Position_3,0,6,FALSE,FALSE,569,168,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4062,186347.2974,21.3485316,71.00112548
Position_3,0,7,FALSE,FALSE,525,180,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,262,3165.193907,1.376985544,1.205986526
Position_3,0,8,FALSE,FALSE,310,185,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,202,2050.186448,1.061645343,0.781151899
Position_3,0,9,FALSE,FALSE,630,194,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2971,112555.3982,15.61459562,42.88530106
Position_3,0,10,FALSE,FALSE,537,208,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,594,10241.22457,3.12186799,3.902060727
Position_3,0,11,FALSE,FALSE,340,210,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3544,132783.9816,18.62609454,50.59269587
Position_3,0,12,FALSE,FALSE,401,217,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2171,74426.46275,11.4100596,28.35760269
Position_3,0,13,FALSE,FALSE,579,241,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4449,202955.6475,23.3824759,77.32915689
Position_3,0,14,FALSE,FALSE,639,246,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1359,36542.77581,7.142455552,13.92334768
Position_3,0,16,FALSE,FALSE,419,428,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3289,137945.6483,17.28589868,52.55936856
Position_3,0,17,FALSE,FALSE,575,657,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3181,118227.928,16.71828632,45.04662029
Position_3,0,18,FALSE,FALSE,582,725,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,6133,346877.8624,32.23302421,132.1656873
Position_3,0,19,FALSE,FALSE,361,780,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5942,340717.9568,31.22919124,129.8186705
Position_3,0,20,FALSE,FALSE,584,787,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1690,49903.2438,8.882082327,19.0138871
Position_3,0,22,FALSE,FALSE,552,301,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3694,162831.6154,19.41444504,62.04129667
Position_3,0,23,FALSE,FALSE,530,266,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,170,1523.788246,0.893463903,0.58058626
Position_4,0,1,FALSE,FALSE,461,111,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2453,80699.46278,12.89215855,30.74771013
Position_4,0,2,FALSE,FALSE,424,155,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3749,164989.9069,19.70350689,62.86363821
Position_4,0,3,FALSE,FALSE,486,170,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2688,99082.4039,14.127241,37.75188742
Position_4,0,4,FALSE,FALSE,534,209,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3946,180681.8759,20.73887388,68.84251461
Position_4,0,5,FALSE,FALSE,431,217,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2467,90518.11393,12.96573793,34.48876402
Position_4,0,6,FALSE,FALSE,589,243,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2462,86694.13044,12.93945958,33.03176875
Position_4,0,7,FALSE,FALSE,486,254,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2913,113264.8453,15.30976676,43.15561107
Position_4,0,8,FALSE,FALSE,547,282,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3362,138412.8637,17.66956259,52.73738466
Position_4,0,9,FALSE,FALSE,554,340,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2808,108803.7036,14.7579214,41.45584895
Position_4,0,10,FALSE,FALSE,311,544,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5270,271637.3073,27.69738098,103.4979032
Position_4,0,11,FALSE,FALSE,356,573,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,533,8351.25772,2.801272119,3.181954907
Position_4,0,12,FALSE,FALSE,318,614,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3594,150951.4917,18.88887804,57.51479068
Position_4,0,13,FALSE,FALSE,263,652,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2587,87651.83124,13.59641833,33.39666717
Position_4,0,14,FALSE,FALSE,319,681,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4160,189356.4511,21.86358727,72.14765834
Position_4,0,15,FALSE,FALSE,317,746,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2964,112359.1873,15.57780593,42.81054177
Position_5,0,1,FALSE,FALSE,73,114,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1761,51503.11005,9.255234898,19.62346023
Position_5,0,2,FALSE,FALSE,125,134,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3776,169964.7201,19.84540998,64.7591169
Position_5,0,3,FALSE,FALSE,490,257,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3818,168750.3514,20.06614812,64.29642415
Position_5,0,4,FALSE,FALSE,437,282,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1936,60998.37344,10.17497715,23.24129852
Position_5,0,5,FALSE,FALSE,479,319,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3207,122270.5192,16.85493374,46.58690842
Position_5,0,6,FALSE,FALSE,559,647,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3596,150180.3909,18.89938938,57.22098966
Position_5,0,7,FALSE,FALSE,614,668,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2008,60094.2222,10.55338539,22.89680329
Position_5,0,8,FALSE,FALSE,568,713,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4143,187945.4078,21.77424088,71.6100296
Position_5,0,9,FALSE,FALSE,626,723,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2795,101804.0146,14.68959769,38.78886205
Position_5,0,10,FALSE,FALSE,564,755,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,194,1836.466431,1.019599983,0.699721355
Position_5,0,11,FALSE,FALSE,112,66,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3535,149453.3854,18.57879351,56.94398965
Position_6,0,1,FALSE,FALSE,690,71,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5394,267384.7242,28.34908407,101.877605
Position_6,0,2,FALSE,FALSE,697,135,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2571,96753.54492,13.51232761,36.86455709
Position_6,0,3,FALSE,FALSE,642,152,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3557,140294.553,18.69441825,53.4543366
Position_6,0,4,FALSE,FALSE,590,188,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4025,182542.1521,21.15407181,69.55130786
Position_6,0,5,FALSE,FALSE,648,211,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2445,80190.12224,12.85011319,30.55364372
Position_6,0,6,FALSE,FALSE,70,297,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4117,186736.8864,21.63759346,71.14956475
Position_6,0,7,FALSE,FALSE,108,345,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2619,89621.40033,13.76459977,34.14710264
