Position_n,frame_i_yeaz,Cell_ID,is_cell_dead_yeaz,is_cell_excluded_yeaz,x_centroid_yeaz,y_centroid_yeaz,editIDclicked_x_yeaz,editIDclicked_y_yeaz,editIDnewID_yeaz,cell_cycle_stage_yeaz,generation_num_yeaz,relative_ID_yeaz,relationship_yeaz,emerg_frame_i_yeaz,division_frame_i_yeaz,is_history_known_yeaz,corrected_assignment_yeaz,cell_area_pxl_yeaz,cell_vol_vox_yeaz,cell_area_um2_yeaz,cell_vol_fl_yeaz,frame_i_cellpose,is_cell_dead_cellpose,is_cell_excluded_cellpose,x_centroid_cellpose,y_centroid_cellpose,editIDclicked_x_cellpose,editIDclicked_y_cellpose,editIDnewID_cellpose,cell_cycle_stage_cellpose,generation_num_cellpose,relative_ID_cellpose,relationship_cellpose,emerg_frame_i_cellpose,division_frame_i_cellpose,is_history_known_cellpose,corrected_assignment_cellpose,cell_area_pxl_cellpose,cell_vol_vox_cellpose,cell_area_um2_cellpose,cell_vol_fl_cellpose
Position_1,0,1,False,False,550,62,,,-1,G1,2,-1,mother,-1,-1,False,False,2961,115933.2837,15.56203892,44.17232629,0,False,False,549,65,,,-1,S,2,2,mother,-1,-1,False,False,3204,131698.7629,16.83916673,50.17921118
Position_1,0,2,False,False,592,63,,,-1,G1,2,-1,mother,-1,-1,False,False,523,8394.90399,2.748715418,3.198584793,0,False,False,590,63,,,-1,S,0,1,bud,-1,-1,False,False,310,3616.461631,1.629257705,1.377926322
Position_1,0,3,False,False,486,82,,,-1,G1,2,-1,mother,-1,-1,False,False,2829,104418.3995,14.86829048,39.78498206,0,False,False,491,86,,,-1,G1,2,-1,mother,-1,-1,False,False,3113,119780.8115,16.36090076,45.6382923
Position_1,0,4,False,False,584,103,,,-1,G1,2,-1,mother,-1,-1,False,False,1733,48881.30256,9.108076138,18.62451211,0,False,False,580,102,,,-1,S,0,5,bud,-1,-1,False,False,1766,51515.58295,9.281513248,19.62821259
Position_1,0,5,False,False,533,134,,,-1,G1,2,-1,mother,-1,-1,False,False,3726,151505.9063,19.58262648,57.72603097,0,False,False,528,131,,,-1,S,2,4,mother,-1,-1,False,False,3843,164895.2577,20.19753987,62.82757544
Position_1,0,6,False,False,460,147,,,-1,G1,2,-1,mother,-1,-1,False,False,4898,240971.3766,25.74227174,91.81372194,0,False,False,461,146,,,-1,S,2,7,mother,-1,-1,False,False,4304,208612.6113,22.62040375,79.48454526
Position_1,0,7,False,False,435,202,,,-1,G1,2,-1,mother,-1,-1,False,False,2019,65678.99195,10.61119776,25.02468463,0,False,False,436,200,,,-1,S,0,6,bud,-1,-1,False,False,1798,52882.0065,9.449694689,20.14884053
Position_1,0,8,False,False,305,311,,,-1,G1,2,-1,mother,-1,-1,False,False,3219,133938.3159,16.91800178,51.03251461,0,False,False,306,312,,,-1,S,2,9,mother,-1,-1,False,False,2846,109572.6068,14.95763687,41.74881264
Position_1,0,9,False,False,327,367,,,-1,G1,2,-1,mother,-1,-1,False,False,2447,86886.31145,12.86062453,33.10499261,0,False,False,326,366,,,-1,S,0,8,bud,-1,-1,False,False,2175,69088.16348,11.43108228,26.3236303
Position_1,0,10,False,False,223,449,,,-1,G1,2,-1,mother,-1,-1,False,False,875,17717.96419,4.598711264,6.750811074,0,False,False,225,451,,,-1,S,0,11,bud,-1,-1,False,False,1074,25802.98221,5.644589597,9.831324648
Position_1,0,11,False,False,268,466,,,-1,G1,2,-1,mother,-1,-1,False,False,3770,164866.6485,19.81387596,62.81667489,0,False,False,269,468,,,-1,S,2,10,mother,-1,-1,False,False,3424,147703.8808,17.99541413,56.27740205
Position_1,0,12,False,False,308,520,,,-1,G1,2,-1,mother,-1,-1,False,False,2768,107750.5742,14.5476946,41.0545908,0,False,False,304,519,,,-1,S,2,17,mother,-1,-1,False,False,2745,102851.6046,14.42681419,39.18800963
Position_1,0,13,False,False,246,532,,,-1,G1,2,-1,mother,-1,-1,False,False,3630,150086.9064,19.07808216,57.18537067,0,False,False,248,530,,,-1,S,2,14,mother,-1,-1,False,False,3438,144669.7417,18.06899352,55.12134938
Position_1,0,14,False,False,251,585,,,-1,G1,2,-1,mother,-1,-1,False,False,1648,47443.08092,8.661344186,18.07652802,0,False,False,252,584,,,-1,S,0,13,bud,-1,-1,False,False,1520,41689.84642,7.988618424,15.88445906
Position_1,0,15,False,False,403,752,,,-1,G1,2,-1,mother,-1,-1,False,False,4309,201339.1765,22.6466821,76.71325711,0,False,False,402,752,,,-1,S,2,16,mother,-1,-1,False,False,3750,163633.892,19.70876256,62.3469761
Position_1,0,16,False,False,380,795,,,-1,G1,2,-1,mother,-1,-1,False,False,790,16124.366,4.151979313,6.143626174,0,False,False,380,795,,,-1,S,0,15,bud,-1,-1,False,False,982,22704.84901,5.161067956,8.650889258
Position_1,0,17,False,False,305,555,,,-1,G1,2,-1,mother,-1,-1,False,False,206,1864.962051,1.082668023,0.710578616,0,False,False,304,554,,,-1,S,0,12,bud,-1,-1,False,False,244,2268.99027,1.282383484,0.864519449
Position_2,0,1,False,False,239,249,,,-1,G1,2,-1,mother,-1,-1,False,False,4217,189662.3599,22.16316046,72.26421421,0,False,False,238,250,,,-1,S,2,2,mother,-1,-1,False,False,3671,160770.3382,19.29356463,61.255919
Position_2,0,2,False,False,236,309,,,-1,G1,2,-1,mother,-1,-1,False,False,2520,92381.34895,13.24428844,35.19868461,0,False,False,237,310,,,-1,S,0,1,bud,-1,-1,False,False,2310,80719.96075,12.14059774,30.75552016
