Position_n,frame_i,Cell_ID,time_seconds,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,FITC_mean_maxProj,FITC_mean_meanProj,FITC_mean_zSlice,FITC_sum_maxProj,FITC_sum_meanProj,FITC_sum_zSlice,FITC_amount_autoBkgr_maxProj,FITC_amount_autoBkgr_meanProj,FITC_amount_autoBkgr_zSlice,FITC_amount_dataPrepBkgr_maxProj,FITC_amount_dataPrepBkgr_meanProj,FITC_amount_dataPrepBkgr_zSlice,FITC_median_maxProj,FITC_median_meanProj,FITC_median_zSlice,FITC_min_maxProj,FITC_min_meanProj,FITC_min_zSlice,FITC_max_maxProj,FITC_max_meanProj,FITC_max_zSlice,FITC_q25_maxProj,FITC_q25_meanProj,FITC_q25_zSlice,FITC_q75_maxProj,FITC_q75_meanProj,FITC_q75_zSlice,FITC_q05_maxProj,FITC_q05_meanProj,FITC_q05_zSlice,FITC_q95_maxProj,FITC_q95_meanProj,FITC_q95_zSlice,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,eccentricity,equivalent_diameter,euler_number,extent,filled_area,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,orientation,perimeter,solidity,FITC_concentration
Position_1,0,3,0.0,0,0,14,48,,,-1,G1,2,-1,mother,-1,-1,False,False,1166.0,25134.45416115489,53.69798456,248.40401496861287,723.2547169811321,595.7332761578044,627.3970840480274,843315.0,694625.0,731545.0,501677.00000000006,383128.1,420223.0,533159.0,413502.3999999999,449373.0,614.0,465.025,507.0,357.0,303.85,274.0,1647.0,1544.25,1577.0,536.5,409.375,436.0,756.25,612.975,658.75,419.25,330.90000000000003,306.0,1449.75,1349.2,1398.5,27,0,71,30,1320,0.7223416341567079,38.530472475187736,1,0.8833333333333333,1166,135.36529699085008,64.73473934454172,21.62521440823328,14.085763293310464,46.53863719377267,32.183160651382074,1166.0,16424.0,307044.0,6483074.0,25215.0,359411.0,6759285.0,143225621.0,702897.0,10013987.0,186136285.0,3897302921.0,22009287.0,312832463.0,5735589201.0,118411150445.0,1166.0,-5.115907697472721e-13,75699.42367066896,25556.568838650182,8.37019342725398e-12,4238.47855917666,-11.74417824608783,505398.5896136485,157617.21869639793,-70169.77679183525,8087563.530974004,-5948225.917310196,-8023.629381945479,1420793.2675769904,-764120.029093599,154960655.08435357,0.1716123810766653,0.0036693418096999,2.588634865649479e-05,9.534526133299154e-07,-4.155156914178539e-12,-5.1764318732651936e-08,-2.2741688640741998e-12,,,0.0556795186595248,0.0005504985381583,,0.0031175461394577,-2.529742156374469e-07,0.0003188147268647,0.1159328624171405,-0.0015114845733274,0.0051017838417389,-0.0001098860414184,-0.000172832130689,0.0008962625279189,-1.411616275724599e-05,8.383536161705417e-05,0.0515571245077699,131.69848480983498,0.9757322175732216,1691.691658257204
Position_1,0,28,0.0,0,0,298,484,,,-1,G1,2,-1,mother,-1,-1,False,False,1300.0,34295.30746788841,59.869108,338.94080273176274,385.18538461538463,319.17096153846154,342.3476923076923,500741.0,414922.25,445052.0,119841.00000000004,67627.25000000003,97951.99999999996,154941.00000000003,101492.25,130451.99999999996,371.5,318.2,333.0,293.0,262.45,236.0,777.0,399.65,669.0,330.0,290.8,294.0,420.0,340.7375,377.0,310.0,276.3,265.95,517.0,375.255,464.0999999999999,464,278,505,320,1722,0.2993655422031783,40.68428945128219,1,0.7549361207897793,1300,108.68100284256654,98.94104094441568,20.05,20.431538461538462,41.700072487719545,39.78764450317021,1300.0,26561.0,683801.0,19751771.0,26065.0,533990.0,13783110.0,399247256.0,651393.0,13354912.0,340027956.0,9700079926.0,18211951.0,373170536.0,9342015912.0,261411188174.0,1300.0,5.080380560684716e-13,141118.90692307695,14111.819563313402,-3.854694341498544e-12,1441.9500000000005,13977.436230769204,561689.46268216,128789.74999999994,-11871.328076923142,8937062.343460502,-861201.4831337738,-12947.625000000337,47416.5530480771,3797047.149378941,62637463.11023073,0.1597092644515247,5.613423537126082e-05,1.477125258229953e-06,1.637605145156232e-09,7.22453218040051e-17,9.900260712840494e-12,3.56037715525584e-17,,,0.0835023117888029,0.0002315925763569,,0.000853224852071,0.0002293871781045,0.0002556620221584,0.0762069526627218,-0.0001948233140154,0.0040678481308422,-1.0871839592256772e-05,-0.0002124866901819,2.1582409216239007e-05,4.7934064607122114e-05,2.193111694626614e-05,1.4559074528838112,141.49747468305833,0.9629629629629628,288.99441793533197
Position_1,0,30,0.0,0,0,310,93,,,-1,G1,2,-1,mother,-1,-1,False,False,1093.0,26234.73182390801,50.33610388,259.27806806146106,554.9899359560842,444.6243366880146,455.5333943275389,606604.0,485974.4,497898.0,286355.0,193979.45,206067.0,315866.0,222452.1,233392.0,541.0,445.65,437.0,382.0,351.3,306.0,1097.0,570.95,1059.0,457.0,406.7,396.0,625.0,483.3,496.0,410.0,367.14,351.0,763.7999999999997,518.5999999999999,620.3999999999999,76,293,112,331,1368,0.3629729381850897,37.3048364477789,1,0.7989766081871345,1093,93.41255441226636,81.10551072653168,17.341262580054895,17.963403476669715,38.66006816595467,36.02343919761836,1093.0,19634.0,452328.0,11739638.0,18954.0,335274.0,7655106.0,197619768.0,419800.0,7328690.0,163373590.0,4122122024.0,10445712.0,180299562.0,3918348786.0,96338327904.0,1093.0,3.3786307085392764e-12,99634.53613906675,34736.88645116735,4.206412995699793e-12,-5204.349496797803,-1856.960621906324,-822226.3311462901,91113.70905763951,-31846.797141252217,5642212.816800145,-2865147.695450476,5796.462070449189,-989039.85758781,-9612.440769650077,-121922520.88155857,0.1596688610601995,0.0001267847914178,1.0963027177991564e-05,1.5303586877979765e-08,-6.08726284746804e-15,-1.5995594251516972e-10,1.4959207476706956e-15,,,0.0834006776375879,0.0008795093973363,,-0.0043563837552266,-4.701671578269221e-05,-0.0006296959422928,0.0762681834226115,-0.000806334712818,0.0043210468720195,-6.637070754988061e-05,0.0001467616526147,-0.0007574488452841,-2.226707182237203e-07,-8.542859932729424e-05,-1.1283957939411806,119.9827560572969,0.9829136690647482,794.7721978210377
Position_1,0,31,0.0,0,0,405,370,,,-1,G1,2,-1,mother,-1,-1,False,False,916.0,20391.222330594253,42.18469456,201.52661619624791,581.1713973799127,433.7699781659388,458.8198689956332,532353.0,397333.3,420279.0,263965.00000000006,152623.9,175707.00000000003,288697.00000000006,176485.69999999995,198607.00000000003,552.5,426.15,441.0,341.0,318.35,282.0,1862.0,618.2,810.0,452.0,377.3250000000001,379.0,680.25,490.225,523.0,382.75,331.125,319.0,845.75,546.3125,663.5,353,389,388,424,1225,0.2701820299572135,34.15095054280933,1,0.7477551020408163,916,75.83131473438108,70.29575544925393,17.12991266375546,16.729257641921397,34.832470996903126,33.53702561629554,916.0,15324.0,321280.0,7570866.0,15691.0,264050.0,5561708.0,131427512.0,337717.0,5679684.0,117906166.0,2738706906.0,8137933.0,136645652.0,2787160610.0,63379226018.0,916.0,-1.1723955140041653e-13,64920.85589519651,23934.65559390545,-4.050093593832571e-13,1551.2183406113525,6308.1968307239495,120234.87220693608,68931.54039301313,-23215.172450944778,3122475.950688626,-2382891.507011048,-8712.248486394188,331555.6210560011,406666.5339861472,20729608.657288752,0.159527369196108,3.652010902628375e-05,1.4764107112494538e-05,9.764828623657908e-09,-2.048055764732438e-15,1.9166995547484288e-11,3.0906714767704878e-15,,,0.0773736864943418,0.0009425154943137,,0.0018487661617476,0.000248408556823,0.0001564386376099,0.0821536827017661,-0.0009141831873174,0.0040626806077938,-0.0001024401277854,-0.0003430769729074,0.0004313899012647,1.7482529768992732e-05,2.9444840674111536e-05,0.3291995597675909,110.81118318204308,0.973432518597237,871.8798703437536
Position_2,0,4,0.0,0,0,385,45,,,-1,G1,2,-1,mother,-1,-1,False,False,1276.0,33130.4020562334,58.76383216000001,327.42803307070585,626.3863636363636,448.7519200626959,500.9835423197492,799269.0,572607.45,639255.0,487925.0,287931.85,355983.0,487925.0,287740.44999999995,354707.0,643.5,453.675,531.0,309.0,280.35,233.0,1469.0,652.0,1003.0,449.75,360.6625,355.0,766.25,528.25,612.0,345.0,301.5375,263.75,907.5,596.0,713.5,26,363,67,406,1763,0.3238633661199135,40.306992682189374,1,0.7237663074305162,1276,108.05362821429851,96.72015545528016,19.11912225705329,22.09090909090909,41.57953885541272,39.3385623438946,1276.0,28188.0,758856.0,22676892.0,24396.0,543610.0,14698800.0,440756380.0,591564.0,13329746.0,357732088.0,10595328116.0,16114626.0,366252736.0,9726078138.0,283520825806.0,1276.0,-2.7995383788947947e-12,136157.45454545456,-102610.80991735496,6.0254023992456496e-12,4680.181818181827,-16639.5816471927,1444957.6790590438,125133.89341692788,82597.51781134243,8352953.42263825,7398405.302592772,19541.147649885617,396029.1548396383,-3998991.251122259,133920213.87506212,0.1604810216846228,7.889049143299725e-05,3.772435178533556e-05,1.2089764617812342e-07,2.0898404071412492e-13,5.874474834986535e-10,-1.516153278748267e-13,,,0.0836257594667005,-0.0017642756070548,,0.0028744938005361,-0.0002860985897624,0.0006955095605046,0.0768552622179223,0.0014201699216212,0.0040205737843325,9.969210333808115e-05,0.0003359877011039,0.0001906229278693,-5.388564599390757e-05,5.051768454985727e-05,1.218803862327236,141.1543289325507,0.9572393098274568,1087.2099027731322
Position_2,0,8,0.0,0,0,127,67,,,-1,G1,2,-1,mother,-1,-1,False,False,1387.0,37869.38915242038,63.87573292,374.2634810987208,335.6092285508292,278.1339581831291,285.5861571737563,465490.0,385771.8000000001,396108.0,127062.0,76332.10000000006,88194.0,127062.0,76124.05000000006,86807.0,322.0,276.75,281.0,252.0,241.25,213.0,744.0,335.8,744.0,306.0,269.57500000000005,265.0,348.0,285.57500000000005,299.0,282.0,253.93,245.0,430.7000000000001,305.345,331.0,48,106,90,150,1848,0.2954959716111214,42.023603469332215,1,0.7505411255411255,1387,115.8128219935428,105.70029314658046,19.99206921413122,21.37130497476568,43.0465463411025,41.12425914646108,1387.0,29642.0,791952.0,23674034.0,27729.0,587534.0,15597818.0,463893932.0,703135.0,14850972.0,387247276.0,11286089982.0,20025501.0,422525288.0,10811790260.0,308048007878.0,1387.0,-5.88684656577243e-12,158463.77793799568,-24169.16890853313,-2.387423592153937e-12,-5070.915645277578,-18197.02875657137,-1284152.9298725866,148774.91276135537,26815.66968695304,11015043.866241418,4647413.262580243,19740.70661914093,-973829.5470518448,-6766821.201657334,-209106315.8263918,0.1597066439366426,5.315775422134684e-05,3.2085216092345483e-06,1.828690643374728e-09,-7.960298155442917e-17,-3.8575624169253086e-12,-1.1525871467838228e-16,,,0.0823715206649008,-0.0003373421155348,,-0.0026359275179491,-0.0002539857369701,-0.0004812684186656,0.0773351232717417,0.0003742807531328,0.0041281631024777,4.6767448779442e-05,0.000275531680806,-0.0003649669718123,-6.80952921695733e-05,-5.650167283767882e-05,-1.1666783985059326,145.7401153701776,0.9618585298196948,235.64682223627574
Position_2,0,12,0.0,0,0,48,145,,,-1,G1,2,-1,mother,-1,-1,False,False,813.0,16949.13779380223,37.44121908,167.50846671433257,637.9938499384994,431.1686346863468,499.2324723247232,518689.0,350540.1,405876.0,320317.0,169159.79999999996,225390.0,320317.0,169037.84999999998,224577.0,571.0,415.15,463.0,334.0,299.25,260.0,2566.0,700.85,1545.0,496.0,378.45,407.0,700.0,476.3,551.0,386.6,328.94,318.0,1038.1999999999994,575.0799999999999,794.0,129,31,161,65,1088,0.295636118947405,32.17364993080032,1,0.7472426470588235,813,68.13766127136049,62.18238096965236,16.39852398523985,17.378843788437884,33.018215886715744,31.542322291081195,813.0,14129.0,300917.0,7131635.0,13332.0,232039.0,4974249.0,118645843.0,269204.0,4707017.0,100276171.0,2369834981.0,6045960.0,106348669.0,2246595279.0,52443850501.0,813.0,1.4424017535930034e-12,55371.31611316114,-22533.4424670444,2.572164703451563e-12,344.2546125461264,27688.863663802826,-57965.59400260243,50578.8782287823,17272.201735633633,2179168.921855467,1636683.8590400333,-27426.146484933404,149436.60100491848,2470903.391796725,5170280.362353867,0.1602952549089948,5.3656621523721645e-05,4.99363761282054e-05,7.812772224281382e-08,1.0428027745477238e-13,5.555494158093154e-10,1.137525059986703e-13,,,0.0837729395980161,-0.0011956420502882,,0.0005208332199333,0.0014691927240836,-0.0001078694970673,0.0765223153109787,0.0009164765093654,0.0040552651908455,0.0001068188479725,-0.0014552527454564,0.0002780899820182,0.0001612645302911,1.1834554426750778e-05,1.4994516226204686,109.84062043356596,0.9644128113879004,1345.543926351962
Position_2,0,13,0.0,0,0,326,179,,,-1,G1,2,-1,mother,-1,-1,False,False,1362.0,34246.59986928919,62.72440392,338.4594251385216,405.7459618208517,327.115859030837,352.40014684287814,552626.0,445531.8,479969.0,220298.0,141669.59999999998,177605.00000000003,220298.0,141465.3,176243.00000000003,404.0,328.975,349.0,281.0,260.65,233.0,690.0,421.55,625.0,351.0,300.5,308.0,448.0,354.4375,389.0,309.0,271.7525,262.0,524.0,374.8425,452.0,161,304,202,349,1845,0.5601641276542082,41.643153818236335,1,0.7382113821138211,1362,132.15322479421576,90.68567714018576,18.49632892804699,22.74596182085169,45.98316644933722,38.09161107439501,1362.0,30980.0,869634.0,27194120.0,25192.0,597975.0,17025459.0,535469313.0,604502.0,14670947.0,416075855.0,12949574321.0,16463380.0,404384019.0,11381956047.0,349549133025.0,1362.0,-1.9042545318370685e-12,164964.10279001467,-91076.12985999332,3.47455397786689e-12,24958.72980910426,-194998.1416828927,7044833.955057391,138542.48164464027,-2322.164979375166,12199701.234817993,-14648530.714598004,157257.54832338245,4421254.226612272,-17130758.372061316,940754118.64803,0.1636115285861979,0.0009269631924845,0.0001190579305891,2.1650979029942257e-06,3.314752119932429e-11,6.265609169672675e-08,-1.0468373024626908e-11,,,0.0889273261389027,-0.0013303373940877,,0.013454521730538,-0.0028483129449742,0.002788299614028,0.0746842024472951,-3.3919567202215804e-05,0.0048285626689442,-0.0001570992781426,0.0022970409190504,0.00174990376384,-0.0001837201168308,0.0002733806035902,1.0288065524064072,145.1543289325507,0.959830866807611,524.7453219165383
Position_2,0,18,0.0,0,0,263,270,,,-1,G1,2,-1,mother,-1,-1,False,False,994.0,22713.36533195477,45.77684104,224.4763743716494,366.1046277665996,299.3510060362173,324.8209255533199,363908.0,297554.9,322872.0,121372.0,75793.50000000001,102204.0,121372.0,75644.40000000001,101210.0,343.0,292.17499999999995,307.0,267.0,248.05,215.0,739.0,371.95,611.0,304.0,268.625,268.0,417.75,328.1625,373.0,286.0,255.9625,240.65,499.3999999999997,358.5175,457.0,253,246,290,282,1332,0.3708749601533231,35.575273821388244,1,0.7462462462462462,994,85.46942296011774,73.71325459414142,17.74245472837022,17.022132796780685,36.979869758584655,34.3425694074608,994.0,16920.0,366186.0,8925078.0,17636.0,294436.0,6317482.0,153341836.0,392962.0,6452302.0,135120816.0,3205643086.0,9801608.0,158730052.0,3235981198.0,74707339456.0,994.0,-1.0977885267493548e-12,78171.5130784708,30519.52658405143,4.362732397567015e-12,-5766.334004024143,16754.079171204503,-854089.028137612,80056.06841046279,-32131.508058410865,4116358.3798275897,-3241496.38450324,-11284.83397770878,-958311.3717191108,647393.3464902163,-100000606.54340656,0.160143538786981,0.0001398810313077,2.0502970488277023e-05,3.3504265852488966e-08,1.1026252410033726e-14,2.657907419225746e-10,-2.5485939737009065e-14,,,0.0791180818092365,0.0009797422383124,,-0.0058361577958942,0.0005378418627449,-0.0008696489754505,0.0810254569777445,-0.0010314902997857,0.0041913509361082,-0.0001046871064663,-0.000362267365775,-0.0009757700604062,2.090816343761859e-05,-0.0001024370579013,-0.7044088941558284,122.08326112068522,0.9622458857696032,455.29958458251014
Position_2,0,21,0.0,0,0,469,287,,,-1,G1,2,-1,mother,-1,-1,False,False,1004.0,22725.635021065023,46.23737264,224.5976358089522,508.6085657370518,390.8293326693228,449.0488047808765,510643.0,392392.65,450845.0,265667.0,168400.25000000006,227957.0,265667.0,168249.65000000005,226953.0,486.0,383.375,430.0,317.0,279.55,247.0,1208.0,552.05,921.0,400.75,336.0875,364.0,593.0,440.125,515.0,341.0,295.1725,287.0,755.0,510.495,673.0,269,453,307,487,1292,0.4210906769936112,35.75377606511099,1,0.7770897832817337,1004,88.2386312611555,72.59239027024879,18.95617529880478,16.973107569721115,37.5741679905023,34.080467196386564,1004.0,17041.0,362303.0,8613481.0,19032.0,324711.0,6938935.0,165647781.0,449184.0,7707779.0,163306719.0,3853899269.0,11849214.0,204421167.0,4284041119.0,99647135721.0,1004.0,-6.465938895416914e-13,73064.27390438248,-16182.352797971267,-2.7995383788947947e-12,1678.816733067729,14066.346716718785,201943.6744418692,88410.07171314742,20082.760829193165,4272632.873703231,1724464.087952555,-17430.28056697487,351325.3572796322,2483327.18516481,34637290.794572614,0.1601902604894465,0.0002428581065633,9.211586410096268e-06,2.6004957146362783e-08,-1.2489575760818566e-15,-1.4383759297395748e-10,1.2666316366938112e-14,,,0.0724832481869161,-0.0005066492255595,,0.0016654663547679,0.0004403997218112,0.0001995396084685,0.0877070123025303,0.0006287661224692,0.0042217687338051,5.377571082724834e-05,-0.0005457202831254,0.0003471429567199,7.744010764377343e-05,3.40885920810301e-05,0.1077018654761355,120.66904755831214,0.9663137632338789,1014.9572553555522
