selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal m&b,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,1,G1,3,26,348895.0,344510.0,MIA_KC_test_files,mother,2,14,26,348895.0,1,-14,348895.0,0.0,-14,32,-42,2+ ($n_2$=79),13
0,Position_2,1,G1,3,27,345004.0,347754.0,MIA_KC_test_files,mother,2,14,26,345004.0,2,-13,345004.0,0.0,-14,32,-39,2+ ($n_2$=79),20
0,Position_2,1,G1,3,28,346473.00000000006,346092.0,MIA_KC_test_files,mother,2,14,26,346473.00000000006,3,-12,346473.00000000006,0.0,-14,32,-36,2+ ($n_2$=79),23
0,Position_2,1,G1,3,29,350631.0,341157.0,MIA_KC_test_files,mother,2,14,26,350631.0,4,-11,350631.0,0.0,-14,32,-33,2+ ($n_2$=79),25
0,Position_2,1,G1,3,30,358264.00000000006,341058.0,MIA_KC_test_files,mother,2,14,26,358264.00000000006,5,-10,358264.00000000006,0.0,-14,32,-30,2+ ($n_2$=79),33
0,Position_2,1,G1,3,31,360616.0,338355.0,MIA_KC_test_files,mother,2,14,26,360616.0,6,-9,360616.0,0.0,-14,32,-27,2+ ($n_2$=79),40
0,Position_2,1,G1,3,32,360817.0,336474.0,MIA_KC_test_files,mother,2,14,26,360817.0,7,-8,360817.0,0.0,-14,32,-24,2+ ($n_2$=79),47
0,Position_2,1,G1,3,33,343012.0,,MIA_KC_test_files,mother,2,14,26,343012.0,8,-7,343012.0,0.0,-14,32,-21,2+ ($n_2$=79),57
0,Position_2,1,G1,3,34,348240.0,,MIA_KC_test_files,mother,2,14,26,348240.0,9,-6,348240.0,0.0,-14,32,-18,2+ ($n_2$=79),63
0,Position_2,1,G1,3,35,354557.0,,MIA_KC_test_files,mother,2,14,26,354557.0,10,-5,354557.0,0.0,-14,32,-15,2+ ($n_2$=79),72
0,Position_2,1,G1,3,36,356486.0,,MIA_KC_test_files,mother,2,14,26,356486.0,11,-4,356486.0,0.0,-14,32,-12,2+ ($n_2$=79),74
0,Position_2,1,G1,3,37,353312.99999999994,,MIA_KC_test_files,mother,2,14,26,353312.99999999994,12,-3,353312.99999999994,0.0,-14,32,-9,2+ ($n_2$=79),76
0,Position_2,1,G1,3,38,351110.0,,MIA_KC_test_files,mother,2,14,26,351110.0,13,-2,351110.0,0.0,-14,32,-6,2+ ($n_2$=79),78
0,Position_2,1,G1,3,39,353217.0,,MIA_KC_test_files,mother,2,14,26,353217.0,14,-1,353217.0,0.0,-14,32,-3,2+ ($n_2$=79),78
0,Position_2,1,G1,3,40,354678.0,,MIA_KC_test_files,mother,2,14,26,354678.0,15,0,354678.0,0.0,-14,32,0,2+ ($n_2$=79),79
0,Position_2,1,S,3,41,362238.0,388.0,MIA_KC_test_files,mother,3,31,41,362238.0,1,1,362626.0,388.0,-14,32,3,2+ ($n_2$=79),79
0,Position_2,1,S,3,42,355458.0,606.0000000000001,MIA_KC_test_files,mother,3,31,41,355458.0,2,2,356064.0,606.0000000000001,-14,32,6,2+ ($n_2$=79),79
0,Position_2,1,S,3,43,352055.0,621.0000000000001,MIA_KC_test_files,mother,3,31,41,352055.0,3,3,352676.0,621.0000000000001,-14,32,9,2+ ($n_2$=79),79
0,Position_2,1,S,3,44,356511.0,667.0,MIA_KC_test_files,mother,3,31,41,356511.0,4,4,357178.0,667.0,-14,32,12,2+ ($n_2$=79),79
0,Position_2,1,S,3,45,359443.99999999994,627.0,MIA_KC_test_files,mother,3,31,41,359443.99999999994,5,5,360070.99999999994,627.0,-14,32,15,2+ ($n_2$=79),79
0,Position_2,1,S,3,46,366799.0,1179.0,MIA_KC_test_files,mother,3,31,41,366799.0,6,6,367978.0,1179.0,-14,32,18,2+ ($n_2$=79),79
0,Position_2,1,S,3,47,378462.0,1056.0000000000002,MIA_KC_test_files,mother,3,31,41,378462.0,7,7,379518.0,1056.0000000000002,-14,32,21,2+ ($n_2$=79),79
0,Position_2,1,S,3,48,390032.0,2064.0,MIA_KC_test_files,mother,3,31,41,390032.0,8,8,392096.0,2064.0,-14,32,24,2+ ($n_2$=79),79
0,Position_2,1,S,3,49,411542.0,1800.0000000000005,MIA_KC_test_files,mother,3,31,41,411542.0,9,9,413342.0,1800.0000000000005,-14,32,27,2+ ($n_2$=79),79
0,Position_2,1,S,3,50,431360.0,1764.9999999999995,MIA_KC_test_files,mother,3,31,41,431360.0,10,10,433125.0,1764.9999999999995,-14,32,30,2+ ($n_2$=79),79
0,Position_2,1,S,3,51,440641.0,3714.0,MIA_KC_test_files,mother,3,31,41,440641.0,11,11,444355.0,3714.0,-14,32,33,2+ ($n_2$=79),79
0,Position_2,1,S,3,52,465021.00000000006,4456.000000000001,MIA_KC_test_files,mother,3,31,41,465021.00000000006,12,12,469477.00000000006,4456.000000000001,-14,32,36,2+ ($n_2$=79),79
0,Position_2,1,S,3,53,493646.0,5319.0,MIA_KC_test_files,mother,3,31,41,493646.0,13,13,498965.0,5319.0,-14,32,39,2+ ($n_2$=79),79
0,Position_2,1,S,3,54,516155.0,5277.0,MIA_KC_test_files,mother,3,31,41,516155.0,14,14,521432.0,5277.0,-14,32,42,2+ ($n_2$=79),79
0,Position_2,1,S,3,55,510383.0,7823.0,MIA_KC_test_files,mother,3,31,41,510383.0,15,15,518206.0,7823.0,-14,32,45,2+ ($n_2$=79),78
0,Position_2,1,S,3,56,466907.00000000006,9941.0,MIA_KC_test_files,mother,3,31,41,466907.00000000006,16,16,476848.00000000006,9941.0,-14,32,48,2+ ($n_2$=79),77
0,Position_2,1,S,3,57,479402.0,10299.0,MIA_KC_test_files,mother,3,31,41,479402.0,17,17,489701.0,10299.0,-14,32,51,2+ ($n_2$=79),77
0,Position_2,1,S,3,58,539411.0,9540.0,MIA_KC_test_files,mother,3,31,41,539411.0,18,18,548951.0,9540.0,-14,32,54,2+ ($n_2$=79),76
0,Position_2,1,S,3,59,505469.00000000006,17962.0,MIA_KC_test_files,mother,3,31,41,505469.00000000006,19,19,523431.00000000006,17962.0,-14,32,57,2+ ($n_2$=79),76
0,Position_2,1,S,3,60,541465.0,13898.000000000002,MIA_KC_test_files,mother,3,31,41,541465.0,20,20,555363.0,13898.000000000002,-14,32,60,2+ ($n_2$=79),75
0,Position_2,1,S,3,61,526567.0,12715.0,MIA_KC_test_files,mother,3,31,41,526567.0,21,21,539282.0,12715.0,-14,32,63,2+ ($n_2$=79),75
0,Position_2,1,S,3,62,566901.0,10402.999999999998,MIA_KC_test_files,mother,3,31,41,566901.0,22,22,577304.0,10402.999999999998,-14,32,66,2+ ($n_2$=79),74
0,Position_2,1,S,3,63,572287.0,13387.000000000002,MIA_KC_test_files,mother,3,31,41,572287.0,23,23,585674.0,13387.000000000002,-14,32,69,2+ ($n_2$=79),71
0,Position_2,1,S,3,64,568165.0,13759.0,MIA_KC_test_files,mother,3,31,41,568165.0,24,24,581924.0,13759.0,-14,32,72,2+ ($n_2$=79),65
0,Position_2,1,S,3,65,432389.0,135101.0,MIA_KC_test_files,mother,3,31,41,432389.0,25,25,567490.0,135101.0,-14,32,75,2+ ($n_2$=79),60
0,Position_2,1,S,3,66,332476.00000000006,203986.0,MIA_KC_test_files,mother,3,31,41,332476.00000000006,26,26,536462.0,203986.0,-14,32,78,2+ ($n_2$=79),55
0,Position_2,1,S,3,67,326130.0,241792.00000000003,MIA_KC_test_files,mother,3,31,41,326130.0,27,27,567922.0,241792.00000000003,-14,32,81,2+ ($n_2$=79),45
0,Position_2,1,S,3,68,320196.0,226709.0,MIA_KC_test_files,mother,3,31,41,320196.0,28,28,546905.0,226709.0,-14,32,84,2+ ($n_2$=79),36
0,Position_2,1,S,3,69,319060.0,234970.0,MIA_KC_test_files,mother,3,31,41,319060.0,29,29,554030.0,234970.0,-14,32,87,2+ ($n_2$=79),30
0,Position_2,1,S,3,70,322053.0,244994.0,MIA_KC_test_files,mother,3,31,41,322053.0,30,30,567047.0,244994.0,-14,32,90,2+ ($n_2$=79),24
0,Position_2,1,S,3,71,328308.0,246091.0,MIA_KC_test_files,mother,3,31,41,328308.0,31,31,574399.0,246091.0,-14,32,93,2+ ($n_2$=79),19
0,Position_2,1,S,3,72,323446.0,240503.0,MIA_KC_test_files,mother,3,31,41,323446.0,32,32,563949.0,240503.0,-14,32,96,2+ ($n_2$=79),18
0,Position_2,1,G1,4,73,310673.0,259548.0,MIA_KC_test_files,mother,3,6,73,310673.0,1,-6,310673.0,0.0,-6,28,-18,2+ ($n_2$=79),63
0,Position_2,3,G1,1,73,259548.0,310673.0,MIA_KC_test_files,mother,1,15,73,259548.0,1,-15,259548.0,0.0,-15,42,-45,1st ($n_1$=38),26
0,Position_2,1,G1,4,74,326254.0,254439.0,MIA_KC_test_files,mother,3,6,73,326254.0,2,-5,326254.0,0.0,-6,28,-15,2+ ($n_2$=79),72
0,Position_2,3,G1,1,74,254439.0,326254.0,MIA_KC_test_files,mother,1,15,73,254439.0,2,-14,254439.0,0.0,-15,42,-42,1st ($n_1$=38),27
0,Position_2,1,G1,4,75,321613.0,243180.0,MIA_KC_test_files,mother,3,6,73,321613.0,3,-4,321613.0,0.0,-6,28,-12,2+ ($n_2$=79),74
0,Position_2,3,G1,1,75,243180.0,321613.0,MIA_KC_test_files,mother,1,15,73,243180.0,3,-13,243180.0,0.0,-15,42,-39,1st ($n_1$=38),30
0,Position_2,1,G1,4,76,318398.0,243796.0,MIA_KC_test_files,mother,3,6,73,318398.0,4,-3,318398.0,0.0,-6,28,-9,2+ ($n_2$=79),76
0,Position_2,3,G1,1,76,243796.0,318398.0,MIA_KC_test_files,mother,1,15,73,243796.0,4,-12,243796.0,0.0,-15,42,-36,1st ($n_1$=38),32
0,Position_2,1,G1,4,77,324928.00000000006,231030.0,MIA_KC_test_files,mother,3,6,73,324928.00000000006,5,-2,324928.00000000006,0.0,-6,28,-6,2+ ($n_2$=79),78
