selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time,Method of calculation,value
0,Position_8,12,S,2,219,291167.0,220158.0,MIA_KC_test_files,mother,33,27,192,291167.0,28,28,-39,28,84,2+ ($n_2$=79),36,Bud signal,220158.0
0,Position_4,1,S,4,74,296042.0,6650.0,MIA_KC_test_files,mother,11,23,71,,4,4,-7,24,12,2+ ($n_2$=79),79,Bud signal,6650.0
0,Position_4,2,S,2,74,302952.0,1355.0000000000002,MIA_KC_test_files,mother,10,45,70,,5,5,-10,46,15,2+ ($n_2$=79),79,Bud signal,1355.0000000000002
0,Position_4,3,S,4,74,478174.0,11092.000000000002,MIA_KC_test_files,mother,8,26,56,,19,19,-6,27,57,2+ ($n_2$=79),76,Bud signal,11092.000000000002
0,Position_4,4,S,1,74,453182.0,3738.000000000001,MIA_KC_test_files,mother,9,36,62,,13,13,-32,37,39,1st ($n_1$=38),38,Bud signal,3738.000000000001
0,Position_4,6,G1,1,74,276730.0,302952.0,MIA_KC_test_files,mother,2,31,59,,16,-16,-31,35,-48,1st ($n_1$=38),23,Bud signal,0.0
0,Position_4,1,S,4,75,315268.0,7631.0,MIA_KC_test_files,mother,11,23,71,,5,5,-7,24,15,2+ ($n_2$=79),79,Bud signal,7631.0
0,Position_4,2,S,2,75,315647.0,4705.999999999999,MIA_KC_test_files,mother,10,45,70,,6,6,-10,46,18,2+ ($n_2$=79),79,Bud signal,4705.999999999999
0,Position_4,3,S,4,75,483442.0,12868.0,MIA_KC_test_files,mother,8,26,56,,20,20,-6,27,60,2+ ($n_2$=79),75,Bud signal,12868.0
0,Position_4,4,S,1,75,467575.0,4297.000000000001,MIA_KC_test_files,mother,9,36,62,,14,14,-32,37,42,1st ($n_1$=38),38,Bud signal,4297.000000000001
0,Position_4,6,G1,1,75,276719.0,315647.0,MIA_KC_test_files,mother,2,31,59,,17,-15,-31,35,-45,1st ($n_1$=38),26,Bud signal,0.0
0,Position_4,1,S,4,76,341364.0,9863.0,MIA_KC_test_files,mother,11,23,71,,6,6,-7,24,18,2+ ($n_2$=79),79,Bud signal,9863.0
0,Position_4,2,S,2,76,325078.0,6820.999999999999,MIA_KC_test_files,mother,10,45,70,,7,7,-10,46,21,2+ ($n_2$=79),79,Bud signal,6820.999999999999
0,Position_4,3,S,4,76,409175.0,77142.99999999999,MIA_KC_test_files,mother,8,26,56,,21,21,-6,27,63,2+ ($n_2$=79),75,Bud signal,77142.99999999999
0,Position_4,4,S,1,76,465478.00000000006,5012.0,MIA_KC_test_files,mother,9,36,62,,15,15,-32,37,45,1st ($n_1$=38),38,Bud signal,5012.0
0,Position_4,6,G1,1,76,271409.0,325078.0,MIA_KC_test_files,mother,2,31,59,,18,-14,-31,35,-42,1st ($n_1$=38),27,Bud signal,0.0
0,Position_4,6,G1,1,73,280641.0,293726.0,MIA_KC_test_files,mother,2,31,59,,15,-17,-31,35,-51,1st ($n_1$=38),23,Bud signal,0.0
0,Position_4,1,S,4,77,366730.0,10744.0,MIA_KC_test_files,mother,11,23,71,,7,7,-7,24,21,2+ ($n_2$=79),79,Bud signal,10744.0
0,Position_4,4,S,1,73,451697.0,3847.0,MIA_KC_test_files,mother,9,36,62,,12,12,-32,37,36,1st ($n_1$=38),38,Bud signal,3847.0
0,Position_4,2,S,2,73,293726.0,2077.0,MIA_KC_test_files,mother,10,45,70,,4,4,-10,46,12,2+ ($n_2$=79),79,Bud signal,2077.0
0,Position_4,2,S,2,70,272337.0,886.0000000000001,MIA_KC_test_files,mother,10,45,70,,1,1,-10,46,3,2+ ($n_2$=79),79,Bud signal,886.0000000000001
0,Position_4,3,S,4,70,441555.0,13698.000000000002,MIA_KC_test_files,mother,8,26,56,,15,15,-6,27,45,2+ ($n_2$=79),78,Bud signal,13698.000000000002
0,Position_4,4,S,1,70,402876.0,2309.9999999999995,MIA_KC_test_files,mother,9,36,62,,9,9,-32,37,27,1st ($n_1$=38),38,Bud signal,2309.9999999999995
0,Position_4,6,G1,1,70,284384.0,272337.0,MIA_KC_test_files,mother,2,31,59,,12,-20,-31,35,-60,1st ($n_1$=38),16,Bud signal,0.0
0,Position_4,1,S,4,71,242848.0,1950.0,MIA_KC_test_files,mother,11,23,71,,1,1,-7,24,3,2+ ($n_2$=79),79,Bud signal,1950.0
0,Position_4,2,S,2,71,268473.0,1723.9999999999998,MIA_KC_test_files,mother,10,45,70,,2,2,-10,46,6,2+ ($n_2$=79),79,Bud signal,1723.9999999999998
0,Position_4,3,S,4,71,449502.0,10793.0,MIA_KC_test_files,mother,8,26,56,,16,16,-6,27,48,2+ ($n_2$=79),77,Bud signal,10793.0
0,Position_4,4,S,1,71,417466.0,3028.0,MIA_KC_test_files,mother,9,36,62,,10,10,-32,37,30,1st ($n_1$=38),38,Bud signal,3028.0
0,Position_4,6,G1,1,71,281388.0,268473.0,MIA_KC_test_files,mother,2,31,59,,13,-19,-31,35,-57,1st ($n_1$=38),18,Bud signal,0.0
0,Position_4,1,S,4,72,256387.0,4798.0,MIA_KC_test_files,mother,11,23,71,,2,2,-7,24,6,2+ ($n_2$=79),79,Bud signal,4798.0
0,Position_4,2,S,2,72,273188.0,1476.9999999999998,MIA_KC_test_files,mother,10,45,70,,3,3,-10,46,9,2+ ($n_2$=79),79,Bud signal,1476.9999999999998
0,Position_4,3,S,4,72,447433.0,15672.0,MIA_KC_test_files,mother,8,26,56,,17,17,-6,27,51,2+ ($n_2$=79),77,Bud signal,15672.0
0,Position_4,4,S,1,72,424375.0,3847.0,MIA_KC_test_files,mother,9,36,62,,11,11,-32,37,33,1st ($n_1$=38),38,Bud signal,3847.0
0,Position_4,6,G1,1,72,276535.0,273188.0,MIA_KC_test_files,mother,2,31,59,,14,-18,-31,35,-54,1st ($n_1$=38),21,Bud signal,0.0
0,Position_4,1,S,4,73,266066.0,4257.0,MIA_KC_test_files,mother,11,23,71,,3,3,-7,24,9,2+ ($n_2$=79),79,Bud signal,4257.0
0,Position_4,3,S,4,73,448916.00000000006,17803.000000000004,MIA_KC_test_files,mother,8,26,56,,18,18,-6,27,54,2+ ($n_2$=79),76,Bud signal,17803.000000000004
0,Position_4,1,G1,4,70,232370.00000000003,,MIA_KC_test_files,mother,7,7,63,,8,0,-7,24,0,2+ ($n_2$=79),79,Bud signal,0.0
0,Position_4,2,S,2,77,355604.0,5256.999999999999,MIA_KC_test_files,mother,10,45,70,,8,8,-10,46,24,2+ ($n_2$=79),79,Bud signal,5256.999999999999
0,Position_4,4,S,1,77,467833.0,5746.000000000001,MIA_KC_test_files,mother,9,36,62,,16,16,-32,37,48,1st ($n_1$=38),38,Bud signal,5746.000000000001
0,Position_4,4,S,1,81,477779.0,10468.0,MIA_KC_test_files,mother,9,36,62,,20,20,-32,37,60,1st ($n_1$=38),38,Bud signal,10468.0
0,Position_4,6,G1,1,81,272061.0,432075.0,MIA_KC_test_files,mother,2,31,59,,23,-9,-31,35,-27,1st ($n_1$=38),36,Bud signal,0.0
0,Position_4,1,S,4,82,452710.0,20367.0,MIA_KC_test_files,mother,11,23,71,,12,12,-7,24,36,2+ ($n_2$=79),79,Bud signal,20367.0
0,Position_4,2,S,2,82,454233.0,4760.999999999999,MIA_KC_test_files,mother,10,45,70,,13,13,-10,46,39,2+ ($n_2$=79),79,Bud signal,4760.999999999999
0,Position_4,3,S,4,82,273935.0,241657.0,MIA_KC_test_files,mother,8,26,56,,27,27,-6,27,81,2+ ($n_2$=79),45,Bud signal,241657.0
0,Position_4,4,S,1,82,482685.0,11706.999999999998,MIA_KC_test_files,mother,9,36,62,,21,21,-32,37,63,1st ($n_1$=38),38,Bud signal,11706.999999999998
0,Position_4,6,G1,1,82,272342.0,454233.0,MIA_KC_test_files,mother,2,31,59,,24,-8,-31,35,-24,1st ($n_1$=38),37,Bud signal,0.0
0,Position_4,1,S,4,83,453061.0,24318.0,MIA_KC_test_files,mother,11,23,71,,13,13,-7,24,39,2+ ($n_2$=79),79,Bud signal,24318.0
0,Position_4,2,S,2,83,450784.0,9273.0,MIA_KC_test_files,mother,10,45,70,,14,14,-10,46,42,2+ ($n_2$=79),79,Bud signal,9273.0
0,Position_4,3,G1,5,83,278476.0,224544.0,MIA_KC_test_files,mother,8,10,83,,1,-10,-10,22,-30,2+ ($n_2$=79),33,Bud signal,0.0
0,Position_4,4,S,1,83,473673.0,16030.000000000002,MIA_KC_test_files,mother,9,36,62,,22,22,-32,37,66,1st ($n_1$=38),38,Bud signal,16030.000000000002
0,Position_4,6,G1,1,83,272534.0,450784.0,MIA_KC_test_files,mother,2,31,59,,25,-7,-31,35,-21,1st ($n_1$=38),37,Bud signal,0.0
0,Position_4,1,S,4,84,463271.0,18517.0,MIA_KC_test_files,mother,11,23,71,,14,14,-7,24,42,2+ ($n_2$=79),79,Bud signal,18517.0
0,Position_4,2,S,2,84,469863.0,7428.0,MIA_KC_test_files,mother,10,45,70,,15,15,-10,46,45,2+ ($n_2$=79),78,Bud signal,7428.0
