selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time,Method of calculation,value
0,Position_8,22,S,1.0,239,305771.0,239198.0,MIA_KC_htb1_mCitrine_labeled,mother,41.0,32.0,207.0,305771.0,33.0,33.0,-23.0,33.0,99.0,1st ($n_1$=48),20,Bud signal,239198.0
0,Position_4,6,G1,2.0,128,281066.0,267647.0,MIA_KC_htb1_mCitrine_labeled,mother,12.0,14.0,126.0,281066.0,3.0,-12.0,-14.0,24.0,-36.0,2+ ($n_2$=89),24,Bud signal,0.0
0,Position_4,10,S,1.0,128,251457.0,1119.0,MIA_KC_htb1_mCitrine_labeled,mother,18.0,31.0,125.0,251457.0,4.0,4.0,-8.0,32.0,12.0,1st ($n_1$=48),48,Bud signal,1119.0
0,Position_4,12,G1,1.0,128,267647.0,281066.0,MIA_KC_htb1_mCitrine_labeled,mother,6.0,18.0,126.0,267647.0,3.0,-16.0,-18.0,25.0,-48.0,1st ($n_1$=48),32,Bud signal,0.0
0,Position_4,1,G1,6.0,129,306676.0,243051.00000000003,MIA_KC_htb1_mCitrine_labeled,mother,15.0,7.0,125.0,306676.0,5.0,-3.0,-7.0,23.0,-9.0,2+ ($n_2$=89),85,Bud signal,0.0
0,Position_4,2,S,3.0,129,416681.0,5735.0,MIA_KC_htb1_mCitrine_labeled,mother,19.0,25.0,126.0,416681.0,4.0,4.0,-9.0,26.0,12.0,2+ ($n_2$=89),89,Bud signal,5735.0
0,Position_4,3,S,6.0,129,381028.0,6542.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,17.0,27.0,122.0,381028.0,8.0,8.0,-5.0,28.0,24.0,2+ ($n_2$=89),89,Bud signal,6542.000000000001
0,Position_4,4,S,2.0,129,249232.0,235573.0,MIA_KC_htb1_mCitrine_labeled,mother,16.0,25.0,108.0,249232.0,22.0,22.0,-8.0,26.0,66.0,2+ ($n_2$=89),83,Bud signal,235573.0
0,Position_4,6,G1,2.0,129,277548.0,266596.0,MIA_KC_htb1_mCitrine_labeled,mother,12.0,14.0,126.0,277548.0,4.0,-11.0,-14.0,24.0,-33.0,2+ ($n_2$=89),27,Bud signal,0.0
0,Position_4,4,S,2.0,128,237802.00000000003,237729.0,MIA_KC_htb1_mCitrine_labeled,mother,16.0,25.0,108.0,237802.00000000003,21.0,21.0,-8.0,26.0,63.0,2+ ($n_2$=89),84,Bud signal,237729.0
0,Position_4,10,S,1.0,129,268480.0,1024.9999999999998,MIA_KC_htb1_mCitrine_labeled,mother,18.0,31.0,125.0,268480.0,5.0,5.0,-8.0,32.0,15.0,1st ($n_1$=48),48,Bud signal,1024.9999999999998
0,Position_4,1,G1,6.0,130,289082.0,248190.0,MIA_KC_htb1_mCitrine_labeled,mother,15.0,7.0,125.0,289082.0,6.0,-2.0,-7.0,23.0,-6.0,2+ ($n_2$=89),87,Bud signal,0.0
