selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,1,G1,3.0,26,348895.0,344510.0,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,348895.0,1.0,-14.0,348895.0,0.0,-14.0,32.0,-42.0,2+ ($n_2$=89),14
0,Position_2,1,G1,3.0,27,345004.0,347754.0,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,345004.0,2.0,-13.0,345004.0,0.0,-14.0,32.0,-39.0,2+ ($n_2$=89),21
0,Position_2,1,G1,3.0,28,346473.00000000006,346092.0,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,346473.00000000006,3.0,-12.0,346473.00000000006,0.0,-14.0,32.0,-36.0,2+ ($n_2$=89),24
0,Position_2,1,G1,3.0,29,350631.0,341157.0,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,350631.0,4.0,-11.0,350631.0,0.0,-14.0,32.0,-33.0,2+ ($n_2$=89),27
0,Position_2,1,G1,3.0,30,358264.00000000006,341058.0,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,358264.00000000006,5.0,-10.0,358264.00000000006,0.0,-14.0,32.0,-30.0,2+ ($n_2$=89),36
0,Position_2,1,G1,3.0,31,360616.0,338355.0,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,360616.0,6.0,-9.0,360616.0,0.0,-14.0,32.0,-27.0,2+ ($n_2$=89),43
0,Position_2,1,G1,3.0,32,360817.0,336474.0,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,360817.0,7.0,-8.0,360817.0,0.0,-14.0,32.0,-24.0,2+ ($n_2$=89),51
0,Position_2,1,G1,3.0,33,343012.0,,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,343012.0,8.0,-7.0,343012.0,0.0,-14.0,32.0,-21.0,2+ ($n_2$=89),64
0,Position_2,1,G1,3.0,34,348240.0,,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,348240.0,9.0,-6.0,348240.0,0.0,-14.0,32.0,-18.0,2+ ($n_2$=89),70
0,Position_2,1,G1,3.0,35,354557.0,,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,354557.0,10.0,-5.0,354557.0,0.0,-14.0,32.0,-15.0,2+ ($n_2$=89),81
0,Position_2,1,G1,3.0,36,356486.0,,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,356486.0,11.0,-4.0,356486.0,0.0,-14.0,32.0,-12.0,2+ ($n_2$=89),83
0,Position_2,1,G1,3.0,37,353312.99999999994,,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,353312.99999999994,12.0,-3.0,353312.99999999994,0.0,-14.0,32.0,-9.0,2+ ($n_2$=89),85
0,Position_2,1,G1,3.0,38,351110.0,,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,351110.0,13.0,-2.0,351110.0,0.0,-14.0,32.0,-6.0,2+ ($n_2$=89),87
0,Position_2,1,G1,3.0,39,353217.0,,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,353217.0,14.0,-1.0,353217.0,0.0,-14.0,32.0,-3.0,2+ ($n_2$=89),88
0,Position_2,1,G1,3.0,40,354678.0,,MIA_KC_htb1_mCitrine_labeled,mother,2.0,14.0,26.0,354678.0,15.0,0.0,354678.0,0.0,-14.0,32.0,0.0,2+ ($n_2$=89),89
