Cell_ID,generation_num,position,file,cell_cycle_stage,selection_subset,phase_volume_at_beginning,phase_volume_at_end,phase_mCitrine_amount_at_beginning,phase_mCitrine_amount_comb_end,phase_volume_at_end_combined,relevant_volume,relevant_amount,Kind of Measurement,Kind of Measurement new,Generation
1,1,Position_3,MIA_KC_test_files_flu_control,G1,1,51.07658901,111.7287862,706.9999999999989,1918.9999999999975,111.7287862,51.07658901,706.9999999999989,Single Cell in G1 (Frame after Cytokinesis),"Af control, sc at birth",1st ($n_1$=64)
1,1,Position_3,MIA_KC_test_files_flu_control,S,1,109.2863008,105.2566297,1492.9999999999975,2036.0,158.16482731000002,158.16482731000002,2036.0,Combined Mother & Bud in S (Frame before Cytokinesis),"Af control, m+b at cytokinesis",1st ($n_1$=64)
1,2,Position_3,MIA_KC_test_files_flu_control,G1,1,114.0323383,91.57429889,1168.0000000000018,1433.0000000000018,91.57429889,114.0323383,1168.0000000000018,Single Cell in G1 (Frame after Cytokinesis),"Af control, sc at birth",2+ ($n_2$=123)
1,2,Position_3,MIA_KC_test_files_flu_control,S,1,100.944155,105.3826346,1898.9999999999984,1734.9999999999961,160.10732253,160.10732253,1734.9999999999961,Combined Mother & Bud in S (Frame before Cytokinesis),"Af control, m+b at cytokinesis",2+ ($n_2$=123)
1,3,Position_1,MIA_KC_test_files_flu_control,G1,1,119.89333895349392,146.0060961756164,2512.999999999999,1919.9999999999995,146.0060961756164,119.89333895349392,2512.999999999999,Single Cell in G1 (Frame after Cytokinesis),"Af control, sc at birth",2+ ($n_2$=123)
1,3,Position_2,MIA_KC_test_files,G1,0,128.0973419438612,173.81665166882368,348895.0,354678.0,173.81665166882368,128.0973419438612,348895.0,Single Cell in G1 (Frame after Cytokinesis),Single cell at birth,2+ ($n_2$=123)
1,3,Position_3,MIA_KC_test_files,G1,0,89.4391383286485,111.26433906178492,293741.0,307918.00000000006,111.26433906178492,89.4391383286485,293741.0,Single Cell in G1 (Frame after Cytokinesis),Single cell at birth,2+ ($n_2$=123)
1,3,Position_3,MIA_KC_test_files_flu_control,G1,1,101.2260888,120.6600269,1269.9999999999964,1608.0,120.6600269,101.2260888,1269.9999999999964,Single Cell in G1 (Frame after Cytokinesis),"Af control, sc at birth",2+ ($n_2$=123)
1,3,Position_4,MIA_KC_test_files,G1,0,86.52329841483821,95.16659223590568,333412.0,322220.0,95.16659223590568,86.52329841483821,333412.0,Single Cell in G1 (Frame after Cytokinesis),Single cell at birth,2+ ($n_2$=123)
1,3,Position_5,MIA_KC_test_files,G1,0,174.0826986,174.500315,400792.0,355494.99999999994,174.500315,174.0826986,400792.0,Single Cell in G1 (Frame after Cytokinesis),Single cell at birth,2+ ($n_2$=123)
