frame_i,Cell_ID,file,position,x_label,mCitrine_corrected_amount,mCitrine_corrected_concentration
225,21,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),225960.0,3665.1300003179003
211,31,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),245769.00000000003,3597.675369511858
215,24,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),228622.0,2462.97263983534
231,35,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),231587.0,4204.943311448426
232,38,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),263434.0,4657.904445156675
233,39,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),309381.0,6984.575429168244
234,32,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),255263.99999999997,1789.6506507863724
239,41,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),218363.0,3918.9536466830277
41,3,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),293740.0,3907.49421614469
51,4,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),223851.0,3470.748873999285
74,5,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),241621.00000000003,4160.106020536286
101,8,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),230602.0,3535.5762489310787
105,6,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),274896.0,2275.1537706633762
109,9,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),245760.0,4899.672947886642
111,7,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),247777.0,2901.222500475266
119,10,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),214868.0,4132.397322622309
139,12,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),241530.0,3768.2553028531265
140,13,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),245926.0,4085.5748009161407
143,11,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),249012.00000000003,4859.131863238177
148,16,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),219086.0,4169.077306859673
158,18,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),232059.0,4312.574158859301
160,17,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),213358.0,3659.829991218318
161,15,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),236681.0,2738.622020102564
162,14,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),214199.0,2136.274367681934
206,34,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),276780.0,4863.794887872784
206,30,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),232316.0,4579.4163614252475
199,29,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),195008.99999999997,3661.0208937507277
199,25,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),235019.0,3882.2065739909112
237,23,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),263515.0,2426.35539514712
238,24,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),212859.99999999997,3548.8360409665684
29,4,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),313565.0,5513.990759058508
49,5,MIA_KC_htb1_mCitrine_labeled,Position_4,1 (n=139),341338.0,6041.921126372512
