Position_n,frame_i,Cell_ID,time_seconds,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,FITC_mean_maxProj,FITC_mean_meanProj,FITC_mean_zSlice,FITC_sum_maxProj,FITC_sum_meanProj,FITC_sum_zSlice,FITC_amount_autoBkgr_maxProj,FITC_amount_autoBkgr_meanProj,FITC_amount_autoBkgr_zSlice,FITC_amount_dataPrepBkgr_maxProj,FITC_amount_dataPrepBkgr_meanProj,FITC_amount_dataPrepBkgr_zSlice,FITC_median_maxProj,FITC_median_meanProj,FITC_median_zSlice,FITC_min_maxProj,FITC_min_meanProj,FITC_min_zSlice,FITC_max_maxProj,FITC_max_meanProj,FITC_max_zSlice,FITC_q25_maxProj,FITC_q25_meanProj,FITC_q25_zSlice,FITC_q75_maxProj,FITC_q75_meanProj,FITC_q75_zSlice,FITC_q05_maxProj,FITC_q05_meanProj,FITC_q05_zSlice,FITC_q95_maxProj,FITC_q95_meanProj,FITC_q95_zSlice,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,eccentricity,equivalent_diameter,euler_number,extent,filled_area,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,orientation,perimeter,solidity
Position_1,0,8,0.0,0,0,314,112,,,-1,G1,2,-1,mother,-1,-1,False,False,1204.0,29707.287241382965,55.44800464,293.5973615050769,212.86046511627907,192.10847176079733,194.0730897009967,256284.0,231298.6,233664.0,25116.000000000004,20779.19999999999,24168.00000000001,0.0,0.0,0.0,213.0,192.9,194.0,189.0,178.1,154.0,267.0,212.7,255.0,206.0,187.15,186.0,219.0,196.95,201.0,198.0,182.0575,174.0,228.0,200.0,215.0,94,295,131,336,1517,0.441762753513639,39.15329375494655,1,0.7936717205009888,1204,106.99932075133135,86.11793995771157,18.027408637873755,19.88870431893688,41.37619040005135,37.11990085282267,1204.0,23946.0,604848.0,17182824.0,21705.0,434099.0,11029027.0,314986289.0,495205.0,9907849.0,248379905.0,6992030059.0,12650007.0,252765413.0,6229202185.0,172085087675.0,1204.0,-6.608047442568933e-13,128593.08637873754,38081.22520722688,4.106937012693379e-12,2414.6727574750803,29135.51519850795,620648.3376784602,103920.09551495015,-28197.407310625757,7313296.989956789,-994153.0689653098,-24075.94958802888,343927.58240658115,1381524.970694057,70471755.31066845,0.1603963959377433,0.0003007914260384,1.0860224360356536e-05,4.872951715358062e-08,2.7525701739472496e-14,6.16665992418867e-10,2.233803971888661e-14,,,0.0887083795837915,0.0007570850937035,,0.0016657326888466,0.0005792372523239,0.0003556035891966,0.0716880163539517,-0.0005605869201894,0.0041901903229407,-1.6415743340162686e-05,-0.0004786490573941,0.0001970550395494,2.2812140348309656e-05,3.353583632482259e-05,1.4741511355319892,132.66904755831212,0.9694041867954912
Position_1,0,9,0.0,0,0,37,117,,,-1,G1,2,-1,mother,-1,-1,False,False,1158.0,28146.514844238925,53.329559280000005,278.1722352056581,208.31692573402415,187.58773747841104,191.4853195164076,241231.0,217226.6,221740.0,18895.000000000004,14750.299999999994,20248.0,0.0,0.0,0.0,208.0,187.475,191.0,189.0,177.15,157.0,270.0,198.8,224.0,202.0,183.2,183.0,214.0,191.85,199.0,194.0,179.6425,172.0,224.0,195.7575,212.0,100,18,136,58,1440,0.4413429820617053,38.39806496170502,1,0.8041666666666667,1158,102.90838828879856,82.8635190852995,17.34369602763385,19.08981001727116,40.5775087039702,36.41176053646393,1158.0,22106.0,540824.0,14881994.0,20084.0,380598.0,9266644.0,254157672.0,444630.0,8372628.0,200127710.0,5386407066.0,11057024.0,207100992.0,4854210142.0,127935159894.0,1158.0,1.2434497875801753e-13,118824.6597582038,21086.22691735139,-1.5916157281026244e-12,-2801.744386873921,-6273.524324292201,-528784.875216535,96299.20898100172,-18089.021993133407,6971099.218160228,-2481437.444029882,5128.01869699736,-505978.01323941234,-383708.6962528788,-71318615.33083752,0.1604247904784957,0.0002996327875956,3.002286424628895e-06,4.944259906973331e-09,4.2507541625271583e-16,7.566238961412081e-11,-4.2683136477394405e-16,,,0.088611371937057,0.0004620909652717,,-0.0020893509347558,-0.0001374802102827,-0.0003405284067162,0.0718134185414386,-0.000396409166343,0.004489268549614,-4.69594901926504e-05,0.0001123771985815,-0.0003258411780619,-7.261422125257793e-06,-3.966145706507426e-05,-1.4488894898332618,128.66904755831212,0.9658048373644704
Position_1,0,12,0.0,0,0,333,143,,,-1,G1,2,-1,mother,-1,-1,False,False,1063.0,25834.512786728883,48.95450908,255.32270006083763,260.761053621825,215.41909689557852,225.10348071495767,277189.0,228990.5,239285.0,73092.99999999997,43124.95,54323.0,0.0,0.0,0.0,252.0,215.9,223.0,204.0,188.55,165.0,563.0,248.05,396.0,241.0,210.8,211.5,269.0,220.275,236.0,219.0,196.465,190.0,329.9,232.93,266.0,125,315,162,352,1369,0.1392068719394899,36.78931415579092,1,0.7764791818845873,1063,85.61022701202323,83.95122467381951,18.071495766698025,18.05079962370649,37.01031791531075,36.64996036534163,1063.0,19188.0,437186.0,11146872.0,19210.0,347285.0,7913063.0,201802865.0,436570.0,7921175.0,178059125.0,4468630427.0,11126218.0,202510691.0,4481801045.0,110359183871.0,1063.0,-2.4229507289419416e-12,90827.25682031986,-23694.11075879118,-8.384404281969182e-13,529.1392285983053,-6644.720636583723,204811.92772454087,89416.56632173095,21612.733619240727,4918128.574843366,1845232.9162937948,4962.893620975403,-16581.17571229551,-53289.88657044009,12011766.966780923,0.159512184088281,2.4357205889413377e-06,6.23150305997122e-06,5.275790158623191e-09,-1.8435051271807272e-16,6.2139312032890986e-12,9.38662383387368e-16,,,0.0803803085043216,-0.0006431425643534,,0.0004682776506243,-0.0001803613865542,0.0001705121975815,0.0791318755839593,0.0005866465749261,0.0040944925454392,4.7117774283139696e-05,0.0001347106106872,-1.3804336205418366e-05,-1.360750084625269e-06,9.407491617670184e-06,1.2489866671243568,124.66904755831214,0.9637352674524026
Position_1,0,15,0.0,0,0,373,209,,,-1,G1,2,-1,mother,-1,-1,False,False,1190.0,28196.55240775927,54.803260400000006,278.6667568530353,229.11008403361345,203.07252100840336,210.40504201680676,272641.0,241656.3,250382.0,44161.0,33584.8,43322.000000000015,0.0,0.0,0.0,221.0,198.875,204.0,193.0,181.05,159.0,300.0,237.15,290.0,211.0,190.9125,191.0,246.0,213.975,228.0,202.0,185.7225,178.0,275.0,231.2825,260.0,189,356,230,393,1517,0.5497710306671079,38.92499271977894,1,0.7844429795649308,1190,113.6999745174546,79.3343634530277,20.365546218487395,17.750420168067226,42.65207606060077,35.6279358825128,1190.0,21123.0,476425.0,12070023.0,24235.0,445650.0,10300180.0,265832760.0,621787.0,11673472.0,270350074.0,6964113598.0,17827873.0,339273786.0,7822550200.0,199918684512.0,1190.0,1.595168441781425e-12,101482.87478991596,10551.736659840752,-9.094947017729282e-13,15468.567226890753,48377.50750653197,2822596.9006740698,128227.98739495798,6439.853371937208,7782003.26851166,4926420.277091164,-58024.89414589388,3181077.41246771,2359497.674954433,441418745.00891566,0.1622137293869599,0.0008339772783217,1.7327612151202794e-05,1.599872672658895e-07,-2.6631593132130575e-13,-4.549789498131004e-09,5.7254888977094265e-15,,,0.0716636358942983,0.0002160013873034,,0.0109233579739359,0.0009903212212889,0.0016749736379024,0.0905500934926615,0.0001318282769189,0.0046179638054994,8.47455873928919e-05,-0.0011878099347711,0.0018877016426744,4.058870440794833e-05,0.0002201217344216,0.4289725038901547,132.91168824543144,0.9651257096512572
Position_1,0,16,0.0,0,0,336,214,,,-1,G1,2,-1,mother,-1,-1,False,False,953.0,20748.532849044648,43.88866148,205.05791895717155,218.4470094438615,194.68074501573977,198.1626442812172,208180.0,185530.75,188849.0,25204.00000000001,18898.70000000001,23027.000000000004,0.0,0.0,0.0,216.0,194.2,198.0,193.0,181.25,167.0,473.0,220.55,234.0,210.0,190.6,191.0,224.0,198.5,206.0,202.0,186.28,179.0,240.0,203.79,217.0,197,320,234,353,1221,0.4619784062849932,34.833852588144914,1,0.7805077805077805,953,85.80597812121113,67.49291893882678,17.92654774396642,16.00314795383001,37.05260652018125,32.86162964646197,953.0,15251.0,314119.0,7271591.0,17084.0,281595.0,5881047.0,137055831.0,382296.0,6408359.0,133182635.0,3073247063.0,9591410.0,162738963.0,3353422479.0,76368213003.0,953.0,1.8332002582610585e-12,70054.99055613851,2497.4103427739065,1.3926637620897964e-12,8197.220356768099,-12384.911146002712,997957.7533683876,76038.85834207761,-3476.1743442312354,3912178.351302592,-611936.6625806349,11934.054740704163,1530353.503125651,-916624.37609751,151773051.38131523,0.1608592833788435,0.0003692631724828,3.278040645237016e-06,1.477275172849253e-09,8.852728491926476e-17,1.394141746058085e-11,-5.225953676960893e-17,,,0.077135318584311,8.907537397557869e-05,,0.0090256982222903,-0.0004417338124575,0.0011530110110135,0.0837239647945325,-0.0001239850433921,0.0045200157029447,-2.2902417182208347e-05,0.0004256530738527,0.0017681253879647,-3.4305697214211906e-05,0.0001840022201154,0.6104135097511928,117.84062043356596,0.9626262626262626
Position_1,0,18,0.0,0,0,296,228,,,-1,G1,2,-1,mother,-1,-1,False,False,1138.0,26791.185097051188,52.408496080000006,264.77750028723887,233.5360281195079,200.43989455184533,204.97451669595785,265764.0,228100.6,233261.0,47267.99999999999,29121.29999999999,35248.99999999999,0.0,0.0,0.0,226.0,200.35,205.0,195.0,181.5,161.0,862.0,252.25,251.0,216.0,194.15,195.0,239.0,205.15,215.0,204.0,186.0425,180.0,283.14999999999986,217.1725,231.0,209,279,250,315,1476,0.5069214116987004,38.065031221695,1,0.7710027100271003,1138,105.38069358122704,78.30108865937639,19.53690685413005,17.798769771529,41.06203961446183,35.39516094821469,1138.0,20255.0,449629.0,11187443.0,22233.0,395215.0,8725989.0,215642137.0,554279.0,9830153.0,213137963.0,5157300059.0,15567615.0,275747227.0,5871908877.0,139010259685.0,1138.0,-2.120970066243899e-12,89114.91827768013,12328.119131087326,6.821210263296962e-13,-505.0483304042183,-40392.414002921854,-289096.8110098838,119914.94991212655,-15597.145817439554,6366134.289698286,227558.53167330884,53183.39209787504,155308.47515894083,-3659025.5711650783,-14494628.197624946,0.1614075415119538,0.0005662394503379,1.776015634295037e-05,9.132196614706801e-08,1.0601524710789744e-13,1.939754854547535e-09,4.7821186022793605e-14,,,0.0688122706855366,0.0002821897061636,,-0.0003899854602656,-0.0009245792742206,-0.000196162738089,0.0925952708264171,-0.0003570174775579,0.0043196544747334,4.577150637284092e-06,0.0012173637867468,0.0001053824690393,-7.359825668475012e-05,-8.642473001100111e-06,-0.0163917812764175,130.08326112068522,0.9652247667514844
Position_1,0,19,0.0,0,0,54,238,,,-1,G1,2,-1,mother,-1,-1,False,False,845.0,18146.654078897245,38.914920200000005,179.3435299029191,304.3692307692308,226.76621301775148,230.6,257192.0,191617.45,194857.0,94952.00000000004,43869.2,47826.99999999999,0.0,0.0,0.0,278.0,226.4,228.0,211.0,194.65,158.0,1623.0,350.95,353.0,261.0,218.15,212.0,319.0,232.85,247.0,232.0,201.37,193.2,423.0,248.34,275.79999999999995,223,39,255,72,1056,0.2522961192215115,32.80072278626208,1,0.8001893939393939,845,69.62986322104429,65.19769043604055,15.294674556213018,15.78698224852071,33.37780417488108,32.298034723132126,845.0,13340.0,269386.0,6125072.0,12924.0,204459.0,4132805.0,94071489.0,252810.0,3988599.0,79222409.0,1770521901.0,5554962.0,87292953.0,1698741191.0,37131854859.0,845.0,-1.882938249764265e-12,58787.65680473373,16120.611183081905,3.0127011996228248e-12,428.0414201183423,-881.1646020796564,112198.15702676438,55141.62603550296,-15601.490683099268,2568990.8178168144,-1207017.2348063495,1568.8760169463235,12334.2571034155,-576834.0765535184,8195942.564885622,0.1595592350971418,2.7511859663356195e-05,9.232215106338224e-06,1.7233511231580067e-09,-2.0752903248807195e-16,-4.24478622215535e-13,6.468744858170437e-17,,,0.0823327709880378,0.0007766757238992,,0.0005994767971966,-4.245367296699188e-05,0.0001859583124615,0.0772264641091039,-0.0007516649916424,0.0042578702705109,-6.8820050986469e-05,7.558695525444524e-05,2.044291722074024e-05,-3.28891331576677e-05,1.607578060532183e-05,1.4554857911466863,110.42640687119284,0.9668192219679634
Position_1,0,24,0.0,0,0,89,288,,,-1,G1,2,-1,mother,-1,-1,False,False,1010.0,23317.30807959742,46.5136916,230.4451454602799,235.2108910891089,204.26153465346533,209.4108910891089,237563.0,206304.15,211505.0,43643.0,29705.64999999999,35764.99999999999,0.0,0.0,0.0,232.0,203.75,210.0,199.0,185.0,168.0,452.0,236.6,260.0,222.0,197.85,201.0,244.0,210.1375,218.0,210.0,190.9725,187.0,269.54999999999995,218.2775,230.0,271,72,306,109,1295,0.3582373654484923,35.86045091995518,1,0.7799227799227799,1010,86.17763077159132,75.118109842074,17.174257425742574,17.828712871287127,37.13276305832171,34.668281720806185,1010.0,18007.0,406635.0,10314913.0,17346.0,305507.0,6858279.0,173489825.0,375220.0,6548711.0,144068903.0,3571995725.0,9093300.0,157510847.0,3389134743.0,82085788433.0,1010.0,5.577760475716786e-13,85593.3673267327,13095.202074306868,-4.192202140984591e-12,-3749.853465346536,8334.95316929693,-531131.6007500178,77315.33069306928,-12176.746119007828,4294787.627700165,-938517.1033934364,-6491.655845505403,-665492.6196322201,887609.9736998997,-65863631.1170888,0.1596987530828369,0.0001199029538186,3.2870426092324567e-06,4.035457477611875e-09,-4.313566306609392e-16,-4.34063150132136e-11,1.7305008853952563e-16,,,0.0839068398458314,0.0004039324744772,,-0.003675966537934,0.0002570986105614,-0.000515511098941,0.0757919132370054,-0.0003756019313808,0.0041684785588873,-2.866271882124816e-05,-0.0002002405609512,-0.0006459205801335,2.710799303188664e-05,-6.329365491978914e-05,-1.2027426976010922,119.49747468305831,0.9665071770334928
Position_1,0,25,0.0,0,0,432,293,,,-1,G1,2,-1,mother,-1,-1,False,False,1128.0,27738.48733331814,51.94796448,274.1396959955161,208.14716312056737,186.5571365248227,190.8909574468085,234790.0,210436.45,215325.0,18213.999999999996,13205.650000000023,19052.99999999999,0.0,0.0,0.0,208.0,186.25,191.0,187.0,174.45,147.0,245.0,198.4,227.0,201.0,181.85,183.0,214.0,190.95,199.0,194.0,178.25,172.35,224.0,195.4,210.0,274,415,313,451,1404,0.3189053438585459,37.89741688375691,1,0.8034188034188035,1128,94.9128246974016,85.2601317371339,19.199468085106385,17.363475177304963,38.96928527903002,36.93456521734272,1128.0,19586.0,436720.0,10958384.0,21657.0,373838.0,8302828.0,207614900.0,522399.0,8965326.0,195484744.0,4796478852.0,14126433.0,241351556.0,5158250566.0,123855460922.0,1128.0,2.7284841053187847e-12,96638.97517730496,19430.22726472536,-3.943512183468556e-12,-2202.781914893618,-5467.803927116542,-503071.6946956903,106596.1196808511,-20751.587002036864,6231468.6842518095,-90275.1965756217,3472.476191150108,-301188.84406698326,-989864.2511621594,-71286174.50916445,0.1597277982575669,7.322827179939526e-05,3.870076909297672e-06,3.1362182592826304e-09,3.4499979994449823e-16,-4.1888461235532646e-13,1.8895058559744778e-17,,,0.0759511084525622,0.0004546792460924,,-0.0017312241547312,-0.0001279499685459,-0.0003505117519105,0.0837766898050047,-0.0004855998751202,0.0043417330542006,-1.8727792723950933e-06,8.12580746048495e-05,-0.0002098512607704,-2.053495669221273e-05,-4.403205055322992e-05,-0.2082798768640276,128.42640687119285,0.9682403433476396
Position_1,0,33,0.0,0,0,365,469,,,-1,G1,2,-1,mother,-1,-1,False,False,1088.0,26120.605697983505,50.105838080000005,258.15015863041896,204.42830882352945,183.64508272058825,187.25091911764707,222418.0,199805.85,203729.0,13522.00000000001,9569.04999999999,14417.000000000016,0.0,0.0,0.0,204.0,183.8,187.0,182.0,173.35,149.0,233.0,193.45,233.0,199.0,180.3,179.0,210.0,187.1,195.0,192.0,176.7175,169.0,218.0,190.0,206.0,451,347,489,384,1406,0.3587686454618448,37.21941193345023,1,0.7738264580369844,1088,92.96088123020871,80.99542689046608,18.12683823529412,18.00551470588235,38.56648933573472,35.99898373909265,1088.0,19590.0,447248.0,11449272.0,19722.0,361613.0,8311671.0,213253259.0,452242.0,8382151.0,190566345.0,4815406189.0,11664012.0,217845425.0,4885979271.0,121234861535.0,1088.0,-9.130474154517287e-13,94519.9669117647,-7419.749635055846,1.7905676941154525e-12,6508.238970588234,-29889.53204746955,998801.6668551718,94744.49632352944,3353.4283493730554,5358684.561977591,442182.9909832178,31458.10571204624,1231048.549940585,-2323172.9042620678,135187675.6608755,0.1598863126109143,0.0001209485307266,9.823969563274951e-06,1.2459591010421014e-08,-3.573846959233069e-15,-9.375955059858172e-11,-2.495911967607615e-15,,,0.0798483176360469,-0.0001900277441059,,0.0054980122142863,-0.0007655029652923,0.0007755192321298,0.0800379949748674,8.588489579775614e-05,0.0041607489000453,1.040880564087984e-05,0.0008056758187718,0.0009558472496051,-5.468653413568313e-05,9.647649556132235e-05,0.7767742043202738,124.9116882454314,0.9653948535936112
