Position_n,frame_i,Cell_ID,time_seconds,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,FITC_mean,phase_contr_mean,FITC_median,phase_contr_median,FITC_min,phase_contr_min,FITC_max,phase_contr_max,FITC_sum,phase_contr_sum,FITC_q25,phase_contr_q25,FITC_q75,phase_contr_q75,FITC_q05,phase_contr_q05,FITC_q95,phase_contr_q95,FITC_amount_autoBkgr,phase_contr_amount_autoBkgr,FITC_amount_dataPrepBkgr,phase_contr_amount_dataPrepBkgr
Position_1,0,32,0,0,0,139,229,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4979,200851.4329,229.2986836,1985.016345,248.7160072,2319.034344,248,2320,196,2054,307,3018,1238357,11546472,239,2286,258,2348,227,2206,271,2431,-130868,-14766,0,0
Position_1,0,33,0,0,0,83,423,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5245,250435.9053,241.5488242,2475.060089,228.7185891,2273.514395,228,2275,187,2167,466,2407,1199629,11924583,220,2253,237,2294,208,2221,251,2323,-242746,-254307,0,0
Position_1,0,34,0,0,0,320,318,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5037,240921.6268,231.9697669,2381.030398,270.4073853,2354.478261,270,2354,216,2270,326,2459,1362042,11859507,260,2333,280,2374,246,2307,296,2406,-23133,163593,0,0
Position_2,0,28,0,0,0,372,410,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2975,117881.813,137.008151,1165.026917,217.7472269,2283.374118,217,2279,183,2207,282,2538,647798,6793038,209,2262,226,2300,199,2241,239,2339.3,-27527,-138712,0,0
Position_2,0,29,0,0,0,413,204,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1747,47350.77952,80.45487052,467.9681392,228.6262164,2411.632513,229,2411,191,2323,284,2507,399410,4213122,220,2390,237,2432,209,2361,248.7,2465,2841,142612,0,0
Position_2,0,30,0,0,0,220,163,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3059,122569.7315,140.8766164,1211.357653,230.6214449,2360.060804,230,2357,191,2277,280,2661,705471,7219426,222,2335,239,2383,210.9,2309,252,2417,11078,91956,0,0
Position_3,0,34,0,0,0,348,430,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2294,79461.92354,105.645949,785.3228369,230.1425458,2324.967306,230,2322,192,2248,275,2448,527947,5333475,221,2305,239,2343,209,2285,252,2375,-15731,-55131,0,0
Position_3,0,35,0,0,0,441,252,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2121,70183.94458,97.67875236,693.6284953,222.9971711,2429.164074,222,2427,188,2342,339,2621,472977,5152257,214,2409,231,2447,203,2384,245,2479,-29700,170028,0,0
Position_3,0,36,0,0,0,296,181,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2350,74394.32104,108.224926,735.2396801,233.0421277,2402.051915,232,2397,190,2301,278,2528,547649,5644822,224,2372,241,2428,212,2339,256,2480,-9301,124672,0,0
Position_4,0,24,0,0,0,416,166,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2317,73556.42238,106.7051717,726.9587208,220.9775572,2537.865343,220,2541,183,2376,270,2655,512005,5880234,212,2514,229,2568,202,2451.8,241,2603,-18588,409797,0,0
Position_4,0,25,0,0,0,267,223,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2384,78228.07422,109.7907334,773.128694,231.8196309,2407.029782,232,2401,194,2322,284,2623,552658,5738359,223,2382,240,2429,212,2357,253,2469,6722,109735,0,0
Position_4,0,26,0,0,0,266,332,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2721,88681.9928,125.3106484,876.4448564,226.9816244,2392.239618,227,2399,191,2255,277,2500,617617,6509284,218,2376,236,2419,207,2308,248,2447,-5492,85003,0,0
Position_21,0,55,0,0,0,267,233,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2494,89797.54347,114.856581,887.4698527,261.6122694,2353.82518,261,2351,214,2282,343,2524,652461,5870440,252,2334,270,2369,241,2312,284,2406,-8449,76878,0,0
