Position_n,frame_i,Cell_ID,time_seconds,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,FITC_mean,phase_contr_mean,FITC_median,phase_contr_median,FITC_min,phase_contr_min,FITC_max,phase_contr_max,FITC_sum,phase_contr_sum,FITC_q25,phase_contr_q25,FITC_q75,phase_contr_q75,FITC_q05,phase_contr_q05,FITC_q95,phase_contr_q95,FITC_amount_autoBkgr,phase_contr_amount_autoBkgr,FITC_amount_dataPrepBkgr,phase_contr_amount_dataPrepBkgr
Position_1,0,3,0,0,0,14,48,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1166,25134.45416,53.69798456,248.404015,462.6595197,2452.04717,295,2441.5,235,1750,1442,3412,539461,2859087,278,2205,480.75,2646.75,259,1979.25,1237,3026,223475,152801,0,0
Position_1,0,28,0,0,0,298,484,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1300,34295.30747,59.869108,338.9408027,270.2230769,2515.276923,270,2505,226,2157,327,3003,351290,3269860,258,2435,281.25,2587.25,243,2325.95,298,2726.15,-1010,252560,0,0
Position_1,0,30,0,0,0,310,93,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1093,26234.73182,50.33610388,259.2780681,400.3540714,2625.459286,399,2576,330,2102,487,3756,437587,2869627,384,2441,417,2750,364.6,2269.6,438.4,3201.4,141384,332774,0,0
Position_1,0,31,0,0,0,405,370,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,916,20391.22233,42.18469456,201.5266162,316.5524017,2702.181223,316,2659.5,261,2081,375,3629,289962,2475198,305,2517.75,327,2842.25,292,2313.5,347,3267.75,41726,349162,0,0
Position_2,0,4,0,0,0,385,45,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1276,33130.40206,58.76383216,327.4280331,293.8025078,2586.61442,292,2577.5,247,2227,366,3135,374892,3300520,280,2453,306,2715,267,2334.75,326,2871.25,85240,329992,0,0
Position_2,0,8,0,0,0,127,67,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1387,37869.38915,63.87573292,374.2634811,247.7310743,2414.660418,248,2419,207,2184,297,2700,343603,3349134,238,2361,257,2467,226,2266.3,272,2561.7,28754,120198,0,0
Position_2,0,12,0,0,0,48,145,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,813,16949.13779,37.44121908,167.5084667,282.2078721,2618.96187,283,2606,201,2106,349,3260,229435,2129216,271,2450,294,2790,256,2249.6,311,3041.4,44884,236552,0,0
Position_2,0,13,0,0,0,326,179,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1362,34246.59987,62.72440392,338.4594251,267.6365639,2531.124816,267,2518,217,2259,365,3018,364521,3447392,257,2466,278,2588.75,243,2389.05,294,2705.85,55347,276656,0,0
Position_2,0,18,0,0,0,263,270,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,994,22713.36533,45.77684104,224.4763744,250.0050302,2616.77666,249,2605,205,2266,312,3122,248505,2601076,241,2512.25,258,2707,227.65,2375.95,274,2891.05,22867,287044,0,0
Position_2,0,21,0,0,0,469,287,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1004,22725.63502,46.23737264,224.5976358,286.0906375,2613.512948,287,2589.5,230,2152,342,3321,287235,2623967,273,2483.75,299.25,2719.5,254,2334.15,317,2969.7,59327,286655,0,0
Position_2,0,24,0,0,0,429,325,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1125,27494.15868,51.809805,271.7249939,262.328,2623.631111,262,2618,217,2124,348,3066,295119,2951585,251,2518,273,2726,236,2367.2,288,2905.8,39744,332585,0,0
Position_2,0,27,0,0,0,237,430,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,982,20728.69068,45.22420312,204.8618186,238.604888,2531.593686,239,2522,196,2218,280,3070,234310,2486025,230,2432.25,247,2611,217,2329.05,261,2773.9,11396,199929,0,0
Position_3,0,3,0,0,0,396,28,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1674,48837.34357,77.09298984,482.6598638,246.5,2492.781959,246,2482,203,2177,301,2928,412641,4172917,237,2400,255.75,2571,224,2319,270,2715,19251,247387,0,0
